============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 1000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.7462E+02 -6.9175E+01 -8.5899E+01
0000002   1.8684E+02 -7.6150E-01 -3.8322E+01
0000003   1.7618E+02 -4.7400E+00  6.1005E+01
0000004   2.8286E+02  9.0684E+01  2.6809E+01
0000005   1.8468E+02 -3.4546E+01 -2.3428E+01
0000006   3.1782E+01  9.2558E-01  1.5706E+01
0000007   1.1768E+02  6.5493E+00 -3.8826E+01
0000008   2.4912E+02 -2.4490E+00 -1.1944E+02
0000009   1.7423E+02 -2.8980E+01  7.7461E+01
0000010   2.1075E+02  3.0846E+01 -9.6391E+00
0000011   2.8659E+02 -1.9789E+01  1.3691E+01
0000012   1.9457E+02  4.9929E+01  1.8867E+01
0000013   2.0777E+02 -4.0605E+01 -5.2929E+01
0000014   1.7222E+02  1.5087E+01  4.6168E+01
0000015   6.3500E+01 -3.2032E+01 -1.1100E+01
0000016   3.1113E+02 -3.0688E+01 -2.8644E+01
0000017   1.7768E+02 -6.5653E+01 -2.0297E+01
0000018   1.5051E+02  9.2573E+01 -5.4217E+01
0000019   5.7054E+01 -2.3009E+01  9.7337E+01
0000020   1.8412E+02 -4.5793E+01 -1.7994E+01
0000021   1.6556E+02  1.5206E+01  3.1162E+01
0000022   1.6631E+02  3.8221E+00  7.7052E+01
0000023   2.2255E+02  7.6687E+01  7.9763E+01
0000024   1.6884E+02 -5.8803E+01  1.9999E+00
0000025   1.4593E+02 -3.4275E+01  3.3810E+01
0000026   5.4400E+01  1.6186E+01 -5.6592E+01
0000027   2.3363E+02 -2.6130E+01 -3.6284E+01
0000028   1.9885E+02  8.5202E+01 -4.3353E+01
0000029   1.5976E+02 -4.1760E+01 -9.6820E+00
0000030   1.6844E+02 -7.1609E+01  2.8954E+01
0000031   1.7636E+02  8.6932E+01 -6.0948E+01
0000032   3.0861E+01  9.4685E+00  1.2545E+01
0000033   9.1320E+01 -6.4325E+01 -9.3738E+01
0000034   5.2363E+01 -7.3277E+00 -2.4092E+01
0000035   1.5957E+02  3.1321E+01 -2.1958E+01
0000036   1.0933E+02 -1.3556E+02  2.1584E+01
0000037   2.5605E+02 -4.6575E+00  2.4102E+01
0000038   1.3771E+02 -1.3436E+02 -1.2865E+02
0000039   2.3240E+02 -3.2783E+01 -1.1505E+02
0000040   3.0915E+02 -2.9263E+01  1.5956E+00
0000041   1.4285E+02 -6.8473E+00 -6.0240E+00
0000042   2.4064E+01  3.4249E+01 -4.4896E+00
0000043   4.1864E+01  3.9436E+00  1.7496E+01
0000044   1.9625E+02  3.0996E+01 -1.0446E+02
0000045   1.4714E+02  6.9642E+01 -5.7058E+01
0000046   1.5012E+02 -3.7124E+01  2.7185E+01
0000047   1.2919E+02  8.3426E+01 -3.5228E+00
0000048   2.2484E+02  1.1695E+02  5.7111E+00
0000049   1.5268E+02  2.6731E+01 -1.1013E+02
0000050   1.6251E+02 -7.6879E+01  2.9221E+01
0000051   1.6398E+02  8.3239E+00  1.1133E+01
0000052   1.6217E+02 -2.0863E+01 -4.3236E+01
0000053   2.0079E+02  6.4120E+01 -4.8804E+01
0000054   1.6734E+02 -6.1882E+01  4.3017E+01
0000055   5.6863E+01 -5.2333E+01  1.9776E+01
0000056   1.3671E+02  1.4629E+00  6.2072E+01
0000057   1.6590E+02  2.2972E+01 -1.9029E+01
0000058   2.4635E+02 -3.4060E+01  4.0111E+01
0000059   2.6451E+02  4.1093E+01 -7.0431E+01
0000060   2.3382E+02  7.4239E+01 -5.2643E+01
0000061   2.7046E+02 -1.1930E+01 -6.2231E+01
0000062   7.3643E+01  3.0217E+01 -5.7147E+00
0000063   1.3397E+02  1.5326E+01 -6.3785E+01
0000064   2.1254E+02 -6.6087E+01 -5.1701E+01
0000065   1.6453E+02  3.7288E+01  5.0272E+01
0000066   1.4493E+02  2.9406E+01  1.0424E+02
0000067   2.6644E+02  9.7430E+01 -1.3415E+01
0000068   3.0915E+02 -5.3106E+01  4.3053E+00
0000069   2.4990E+02 -3.5887E+01  9.0599E+01
0000070   1.3626E+02 -1.2350E+02  6.3513E+01
0000071   1.3290E+02  2.1001E+01  6.0892E+01
0000072   1.6829E+02 -1.2157E+01  7.8799E+00
0000073   2.3575E+02 -1.5994E+01  7.1496E+00
0000074   1.6799E+02  5.5550E+01 -8.0341E+01
0000075   1.8811E+02 -4.4262E+00 -3.7265E+01
0000076   1.9208E+02 -1.5862E+00 -6.6656E+00
0000077   1.6691E+02  3.2100E+01  3.9828E+01
0000078   1.3673E+02 -1.1050E+02 -5.6807E+01
0000079   2.3006E+02  5.9951E+01 -2.5633E+01
0000080   2.1050E+02 -1.9748E+01  6.4938E+01
0000081   2.3765E+02 -1.3819E+00  7.3840E+01
0000082   2.6898E+02  6.3538E+01 -1.7796E+01
0000083   2.5402E+02  2.3370E+01  3.7911E-01
0000084   9.1294E+01 -1.9093E+01 -7.1125E+00
0000085   1.3973E+02 -2.0330E+01 -4.2037E+01
0000086   6.1867E+01  3.2359E+01  3.6558E+00
0000087   1.5996E+02 -4.8587E+01  4.8591E+01
0000088   8.3018E+01 -4.0459E+01 -1.1180E+00
0000089   1.1564E+02 -6.5969E+01 -2.4497E+01
0000090   1.6513E+02 -5.4425E+01  5.8108E+01
0000091   1.5112E+02  1.2500E+02 -7.9091E+01
0000092   1.4159E+02  4.8626E+01  7.3185E+01
0000093   1.3303E+02 -2.7288E+01  1.1168E+02
0000094   1.0910E+02 -5.9754E+01 -7.0696E+01
0000095   6.4075E+01 -3.8755E+01 -1.2882E+02
0000096   1.7256E+02 -3.6085E+01  2.4609E+01
0000097   1.1028E+02 -4.8272E+01 -1.2319E+02
0000098   1.8152E+02  8.7479E+01  3.1618E+01
0000099   1.5211E+02 -5.0100E+01 -1.5761E+01
0000100   1.7998E+02 -1.9118E+01  6.8000E+01
0000101   1.4319E+02 -1.2413E+01 -1.0274E+02
0000102   1.6593E+02  6.7887E+01  3.2186E+01
0000103   2.2520E+02  4.7423E+01 -2.5351E+01
0000104   2.1371E+02  2.5083E+01  1.0118E+02
0000105   2.8604E+02  5.1128E+01 -8.3541E+00
0000106   1.6233E+02  1.5220E+01  8.8563E+01
