============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.2010E+03  7.5711E+01 -5.0955E+00
0000002   9.0409E+02 -2.0226E+02 -4.4638E+02
0000003   1.1453E+03 -5.1344E+01  4.0693E+02
0000004   1.5178E+03 -1.0564E+02  5.5182E+00
0000005   8.7401E+02  2.6421E+02  4.6142E+01
0000006   1.3337E+03 -4.1084E+02 -4.7630E+01
0000007   1.1076E+03 -8.6676E+02  2.2587E+02
0000008   1.3734E+03  1.2475E+02  3.8359E+01
0000009   1.3032E+03  1.8338E+02 -1.3850E+02
0000010   7.5219E+02  6.3528E+02 -2.9097E+01
0000011   1.4318E+03  1.8596E+01 -1.6330E+02
0000012   1.2778E+03 -2.4263E+02  5.4522E+01
0000013   1.4254E+03 -4.5162E+02 -2.2398E+02
0000014   1.5904E+03 -6.5139E+01 -3.4446E+02
0000015   4.8956E+02  3.6882E+02 -6.3771E+02
0000016   1.3385E+03 -4.9472E+02 -1.3051E+02
0000017   1.5046E+03 -1.0912E+02 -8.6931E+01
0000018   7.9012E+02  8.7546E+01  5.1916E+01
0000019   1.3983E+03  1.9846E+02  1.2239E+02
0000020   1.0840E+03 -4.8271E+01  4.0747E+02
0000021   1.4210E+03  2.3284E+02  1.5439E+02
0000022   1.4537E+03 -3.5277E+02  4.9096E+01
0000023   1.7075E+03 -1.1404E+02  8.8015E+00
0000024   8.4318E+02  2.6010E+01  2.6972E+01
0000025   1.1685E+03  9.7139E+01 -6.3155E+01
0000026   1.7112E+03 -1.6115E+02  1.2523E+02
0000027   1.1110E+03 -1.2521E+02  1.8970E+02
0000028   1.1965E+03  3.6152E+02  2.3646E+02
0000029   1.3388E+03  2.1158E+02  5.5901E+01
0000030   1.6482E+03  2.3197E+02  1.3572E+02
0000031   1.1031E+03 -2.0866E+01 -2.1274E+02
0000032   1.6421E+03 -6.1933E+01 -1.7563E+02
0000033   1.3018E+03  1.5416E+02  2.5647E+02
0000034   1.5489E+03  3.1860E+02 -7.0009E+01
0000035   1.5208E+03  1.5736E+02  2.2047E+02
0000036   1.2275E+03  5.8380E+02 -2.8637E+02
0000037   1.5917E+03 -1.3123E+02  2.5898E+02
0000038   1.2644E+03  6.4037E+01  1.3266E+01
0000039   1.2235E+03  1.4590E+02 -1.5250E+02
0000040   1.5115E+03 -2.2158E+02 -8.9622E+01
0000041   1.2348E+03 -5.7704E+02  1.6526E+02
0000042   1.0678E+03 -8.3484E+01 -2.3762E+02
0000043   1.5449E+03  6.5852E+01  1.8117E+02
0000044   9.7522E+02  1.0027E+02  1.6147E+02
0000045   1.3951E+03  1.0930E+02  2.7660E+01
0000046   6.1494E+02  8.3453E+01 -5.5173E+01
0000047   1.3409E+03  4.1550E+02 -1.3402E+01
0000048   1.1777E+03 -2.6401E+02 -1.0607E+02
0000049   1.4053E+03  7.2386E+01  7.3743E+01
0000050   1.3800E+03  4.0800E+01  7.2637E+01
0000051   1.2934E+03 -4.7706E+02 -3.1260E+02
0000052   1.2008E+03 -3.8873E+02 -3.2067E+02
0000053   1.5560E+03  2.5791E+02 -2.5793E+01
0000054   1.3051E+03  3.1565E+02  4.0857E+02
0000055   1.2814E+03  1.0850E+02  4.0710E+02
0000056   1.1548E+03  2.3375E+02  3.1661E+02
0000057   1.0552E+03  2.4001E+02  3.9995E+01
0000058   8.8452E+02  3.9070E+02  1.3832E+02
0000059   9.5760E+02  1.8454E+02 -3.6503E+02
0000060   1.4897E+03  4.4034E+02 -1.6636E+02
0000061   1.3783E+03 -5.2043E+01  8.7504E+01
0000062   1.4154E+03  3.9240E+02 -1.1053E+02
0000063   1.2622E+03 -3.4272E+02  2.9706E+02
0000064   1.3547E+03  7.3459E+01 -1.8395E+02
0000065   1.4848E+03  6.4603E+01 -1.5028E+01
0000066   1.2099E+03  1.5931E+02  4.4741E+02
0000067   1.4342E+03 -1.3562E+02  4.1174E+01
0000068   9.7919E+02 -1.1652E+02 -4.0546E+02
0000069   1.1841E+03 -2.9154E+01  1.6259E+02
0000070   1.5208E+03  3.0119E+02 -2.6894E+02
0000071   1.4811E+03  1.7668E+02 -3.4880E+00
0000072   1.2974E+03  1.2457E+02  5.2840E-01
0000073   1.3457E+03 -3.3541E+02 -4.4120E+02
0000074   1.0490E+03 -2.9452E+02  3.1936E+02
0000075   1.2153E+03  2.7774E+02 -6.7952E+01
0000076   1.2686E+03  8.2676E+01  3.1011E+02
0000077   1.2665E+03 -4.6983E+02 -3.8609E+02
0000078   1.3414E+03 -9.4424E+01 -4.9804E+02
0000079   1.5767E+03  6.5295E+01  5.4251E+01
0000080   9.4106E+02 -6.8223E+01 -2.9095E+02
0000081   1.4602E+03 -1.7557E+02  1.0986E+02
0000082   1.1012E+03 -5.3252E+02  5.7992E+01
0000083   1.4255E+03 -1.7593E+02  3.7996E+02
0000084   1.0190E+03 -3.8855E+02 -5.2182E+02
0000085   1.5030E+03 -6.7693E+01  1.2486E+02
0000086   1.6206E+03  4.4081E+02 -1.1477E+01
0000087   1.2181E+03 -2.6006E+02  5.9073E+02
0000088   1.0263E+03 -2.1401E+02 -9.7664E+01
0000089   1.4802E+03 -9.1431E+00  3.6367E+01
0000090   1.5195E+03 -1.0987E+02  2.6606E+02
0000091   9.2461E+02  2.9250E+02 -3.9280E+02
0000092   1.0813E+03  3.9568E+02 -2.4629E+02
0000093   1.6912E+03 -1.1987E+02  2.0413E+02
0000094   1.0646E+03 -9.8976E+01 -2.1665E+02
0000095   1.2353E+03  3.0642E+02 -1.3137E+01
0000096   1.4307E+03 -2.1573E+02 -3.6230E+02
0000097   1.4199E+03  1.8291E+01 -2.1552E+02
0000098   1.5989E+03 -3.8233E+02 -7.2546E+01
0000099   1.3952E+03  6.9078E+01 -2.0601E+02
0000100   1.4581E+03 -8.4835E+01  2.9941E+01
0000101   9.7895E+02  3.3899E+02 -1.6657E+02
0000102   1.1869E+03  3.1134E+02  9.0391E+01
0000103   1.0795E+03  4.3834E+01  1.9655E+02
0000104   1.4673E+03 -2.0921E+01 -3.1480E+02
0000105   1.5248E+03 -4.0707E+02 -1.6338E+02
0000106   1.2940E+03 -3.1030E+02 -8.1990E+01
0000107   1.1681E+03  2.7661E+02  2.8994E+02
