============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.2330E+02  1.1610E+02  3.5828E+01
0000002   4.0225E+02 -2.4784E+01  2.3989E+02
0000003   1.3283E+02 -1.6806E+02 -1.0584E+02
0000004   2.4032E+02  3.1027E+01 -4.7716E+01
0000005   4.7167E+02 -1.2976E+02  3.3488E+01
0000006   6.4827E+02  5.0981E+01  4.7702E-01
0000007   4.2653E+02  2.1599E+02 -1.8227E+01
0000008   5.1687E+02  7.0227E+01  1.2044E+01
0000009   6.1245E+02 -1.3404E+02  8.1418E+00
0000010   5.7376E+02 -7.0543E+01  3.9107E+01
0000011   5.2112E+02 -1.2923E+02 -1.1434E+02
0000012   2.0066E+02  1.1063E+02 -4.1310E+00
0000013   3.2818E+02  1.2398E+02 -1.8934E+00
0000014   6.9975E+02 -1.1727E+01 -6.7801E+01
0000015   7.0761E+02 -1.6200E+02 -7.3840E+01
0000016   3.4097E+02  1.5001E+02  1.3948E+02
0000017   7.3304E+02 -9.3113E+01 -5.4780E+01
0000018   2.7654E+02  2.2058E+02  4.8846E+01
0000019   5.4652E+02  1.5885E+02 -5.9952E+01
0000020   4.6986E+02  8.3964E+01  5.3017E+01
0000021   4.1265E+02  6.0235E+01 -6.9161E+01
0000022   3.8830E+02 -2.1602E+02  1.2266E+01
0000023   5.7785E+02 -1.9690E+02 -5.8336E+01
0000024   5.5243E+02  1.1007E+02 -2.5394E+01
0000025   5.7654E+02  1.6487E+02  7.2080E+01
0000026   4.8038E+02 -1.7493E+02 -3.8888E+01
0000027   3.5935E+02 -4.3674E+01  2.8718E+01
0000028   4.4256E+02 -6.6870E+01  3.2246E+01
0000029   4.9700E+02  1.1466E+02  6.2368E+01
0000030   5.1281E+02 -8.7224E+01  1.7733E+02
0000031   4.4714E+02  1.9775E+00 -1.1653E+02
0000032   4.3406E+02 -7.8174E+01  4.7042E+01
0000033   5.4809E+02 -8.2850E+01  7.4087E+01
0000034   4.4953E+02  1.2695E+02 -3.6096E+01
0000035   3.3238E+02 -1.1036E+02 -1.0029E+02
0000036   4.6802E+02 -8.0943E+01  2.8065E+01
0000037   3.9071E+02 -1.2635E+02  6.1257E+00
0000038   3.4758E+02  4.8161E+01  4.6695E+01
0000039   5.0725E+02  7.1159E+01 -1.4801E+02
0000040   4.4321E+02 -2.5979E+01  2.0074E+02
0000041   5.3031E+02 -1.5414E+02  9.2037E+01
0000042   4.8681E+02 -1.1014E+02  1.5484E+02
0000043   6.6372E+02  4.5906E+00 -1.3211E+02
0000044   5.1690E+02 -1.0847E+02 -5.7279E-01
0000045   3.5437E+02 -1.9072E+02 -4.1894E+01
0000046   2.9659E+02 -7.0341E+01  1.1843E+01
0000047   4.0836E+02 -8.1913E+01  1.2492E+02
0000048   4.0108E+02 -7.2773E+01  4.5934E+00
0000049   4.6908E+02  3.2818E+01 -8.7973E+01
0000050   6.3857E+02  9.8227E+01 -1.1977E+02
0000051   3.7038E+02 -5.4513E+01  2.2451E+02
0000052   3.4392E+02 -5.9370E+01  7.1456E+01
0000053   3.7357E+02  6.4230E+01  8.8919E+01
0000054   4.6914E+02 -4.0499E+01 -5.9280E+01
0000055   3.7253E+02 -4.8265E+01  4.9957E+01
0000056   4.1533E+02 -3.1242E+02 -1.4749E+02
0000057   3.9831E+02  4.0518E+01  1.8322E+02
0000058   4.1023E+02  6.8742E+01 -1.3933E+02
0000059   5.3586E+02 -1.5658E+02  2.4494E+02
0000060   5.4302E+02  8.3690E+01  1.8886E+02
0000061   6.2914E+02  7.0997E+00 -4.3375E+01
0000062   4.3689E+02  1.9368E+02 -2.8914E+01
0000063   3.8391E+02 -1.3595E+02 -5.5781E+01
0000064   4.9860E+02 -2.2522E+02  1.8666E+02
0000065   6.7913E+02  7.4091E+01  1.0854E+02
0000066   2.9111E+02  2.4402E+02 -1.6915E+02
0000067   5.3715E+02 -9.4853E+01  8.1592E+01
0000068   4.4384E+02 -3.2761E+01 -2.6226E+02
0000069   3.9180E+02  1.5934E+02 -2.7213E+02
0000070   4.5514E+02 -2.7820E+01  6.3831E+01
0000071   5.5059E+02  1.7220E+01 -2.5092E+01
0000072   5.6145E+02  1.7642E+02  1.5128E+02
0000073   2.2479E+02  4.4764E+01  9.4924E+01
0000074   4.2836E+02  6.6848E+01  1.3656E+02
0000075   5.5861E+02 -5.9229E+01  7.4092E+01
0000076   5.9208E+02  9.7877E+01 -1.2945E+01
0000077   5.8312E+02 -3.4308E+01  1.6560E+02
0000078   3.6802E+02 -1.2262E+02 -6.2100E+01
0000079   5.4865E+02  1.5298E+02 -9.6440E+01
0000080   5.1092E+02 -1.7777E+02  2.3262E+01
0000081   3.0557E+02 -9.0939E+01  1.0385E+02
0000082   4.0582E+02  1.5226E+02  1.1305E+02
0000083   4.9176E+02 -4.2081E+01  9.2679E+01
0000084   2.8963E+02  3.1647E+00  1.5231E+02
0000085   4.9457E+02  2.0576E+02  3.2226E+01
0000086   3.7026E+02  9.4588E+01  1.1033E+02
0000087   5.1604E+02 -2.0381E+02  7.9498E+01
0000088   5.2739E+02  2.5267E+01 -1.9597E+02
0000089   5.3389E+02  1.0894E+02 -1.7264E+02
0000090   2.9793E+02  2.3273E+02 -6.4999E+01
0000091   5.6648E+02 -6.4799E+01 -1.7160E+02
0000092   5.1795E+02  1.3657E+02 -6.8048E+01
0000093   4.5759E+02  6.0726E+01 -1.4366E+02
0000094   4.2281E+02 -1.3898E+02  1.7659E+02
0000095   4.5742E+02  4.5468E+01 -7.1328E+01
0000096   3.9132E+02  2.2580E+01  6.4112E+00
0000097   3.7039E+02  1.2947E+02 -1.7848E+02
0000098   5.5819E+02  1.2138E+02  1.0602E+02
0000099   3.3853E+02  8.3629E+01  5.4965E+01
0000100   4.2183E+02  2.1591E+02 -2.0657E+01
0000101   5.7912E+02 -1.2533E+02  5.0313E+01
0000102   6.2937E+02  1.9501E+02  1.7600E+02
0000103   3.1290E+02  6.2688E+01 -6.8888E+01
0000104   3.3871E+02 -1.3371E+01  1.0581E+02
0000105   5.6798E+02  2.2564E+02  6.0915E+00
0000106   5.6695E+02 -3.9680E+01  1.0803E+02
0000107   4.4185E+02  6.7401E+01  1.0902E+01
