============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 5000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.4170E+02 -1.0086E+02 -6.7223E+00
0000002   6.5255E+02 -2.4713E+02 -4.6630E+02
0000003   6.3366E+02  1.4453E+02 -5.0784E+02
0000004   8.2321E+02  1.3469E+02  2.9903E+01
0000005   7.1409E+02 -3.3712E+01  1.5470E+02
0000006   8.2350E+02 -2.8488E+02 -4.4101E+01
0000007   9.2524E+02  7.7508E+01 -9.7347E+01
0000008   7.5413E+02 -1.5300E+02  3.4353E+02
0000009   8.5597E+02  2.8725E+02  6.6357E+01
0000010   7.6830E+02 -1.0194E+02  1.1303E+02
0000011   8.7249E+02 -6.1756E+01 -8.8783E+01
0000012   7.3508E+02 -1.1174E+01  2.0440E+02
0000013   6.4424E+02 -2.2850E+01 -8.9531E+01
0000014   6.5617E+02  1.2675E+02  1.5765E+02
0000015   9.3948E+02 -4.0943E+01  5.0369E+01
0000016   9.0519E+02 -1.0867E+01 -6.4306E+01
0000017   7.4523E+02  1.4627E+02 -8.1849E+00
0000018   7.6161E+02  4.2813E+01 -2.0337E+02
0000019   8.5252E+02 -2.8274E+02 -1.3693E+02
0000020   6.4101E+02 -1.3500E+02  1.0604E+02
0000021   8.0031E+02 -4.0050E+01 -2.9684E+02
0000022   8.4935E+02 -2.0573E+02 -1.2277E+02
0000023   6.8692E+02 -3.7505E+00  1.7727E+02
0000024   3.4303E+02  5.9559E+01 -2.0409E+02
0000025   8.6369E+02  2.5630E+02 -1.2643E+02
0000026   9.0947E+02 -7.7150E+01  3.0348E+01
0000027   8.0441E+02 -2.1084E+02  1.0445E+02
0000028   4.9290E+02 -4.0657E+01 -2.4362E+02
0000029   7.7180E+02 -4.8281E+01 -3.1048E+02
0000030   4.1517E+02  1.0227E+02  1.4909E+02
0000031   6.2132E+02 -1.6266E+02  9.3085E+01
0000032   8.5080E+02 -4.6892E+01 -6.1566E+01
0000033   7.8226E+02 -1.3454E+02 -1.4204E+02
0000034   6.8422E+02 -1.9672E+02 -7.9268E+01
0000035   8.2567E+02  3.3848E+02 -8.4220E+01
0000036   7.9378E+02  3.3793E+00  5.4009E+01
0000037   8.0145E+02 -3.1550E+01  1.2177E+02
0000038   9.2523E+02 -1.3719E+02  2.3017E+02
0000039   7.1252E+02 -2.2535E+02  6.3940E+01
0000040   9.4008E+02 -1.2703E+00  2.0643E+01
0000041   4.7982E+02  1.2805E+02  1.3205E+01
0000042   9.1553E+02  2.1032E+02  8.5844E+01
0000043   8.7093E+02 -3.4158E+02 -4.3979E+01
0000044   8.4370E+02 -3.5218E+02 -1.4787E+02
0000045   7.9334E+02 -1.9161E+02 -8.2455E+01
0000046   2.3277E+02 -1.2525E+02  4.4370E+01
0000047   5.9109E+02  4.6882E+01  1.6163E+02
0000048   6.7614E+02 -4.7944E+01 -8.7200E+01
0000049   4.2835E+02 -6.5975E+01  1.2736E+02
0000050   8.8052E+02 -1.6887E+01 -8.2962E+01
0000051   8.6026E+02 -1.3328E+02  1.5643E+02
0000052   7.7930E+02 -1.1991E+02  7.2721E+01
0000053   7.8449E+02 -3.2837E+02  8.1745E+01
0000054   8.4930E+02  1.6476E+02  2.3009E+01
0000055   8.9331E+02  2.1366E+02  1.7520E+01
0000056   4.1490E+02 -5.7460E+00  2.8311E+01
0000057   7.5366E+02  9.7229E+01  3.3527E+02
0000058   6.8067E+02 -3.7228E+02 -4.0640E+00
0000059   7.7862E+02  2.2488E+01 -2.9145E+01
0000060   5.7710E+02 -4.5201E+02  5.5203E+01
0000061   8.0306E+02 -2.9294E+00 -1.1780E+01
0000062   8.4420E+02 -5.1926E+01  1.3568E+02
0000063   5.8731E+02 -7.1865E+01 -1.0495E+02
0000064   8.1543E+02 -8.5464E+01 -2.8008E+02
0000065   6.1692E+02  1.0659E+02 -6.2041E+01
0000066   6.6918E+02 -1.3406E+02  5.4809E+01
0000067   6.6316E+02 -1.9669E+02  3.8600E+02
0000068   5.3200E+02  1.5595E+02 -1.1828E+02
0000069   1.0343E+03  6.9451E+01  1.8132E+01
0000070   4.4615E+02 -4.2019E+02 -9.1329E+00
0000071   8.4620E+02  1.5394E+01  1.0515E+02
0000072   5.8130E+02  1.2442E+02  7.3801E+01
0000073   5.3466E+02  2.3437E+02  1.1145E+02
0000074   8.2249E+02  3.5695E+02  5.5602E+01
0000075   8.3787E+02 -1.4455E+02  2.2066E+02
0000076   6.8682E+02  4.0576E+01  4.6500E+01
0000077   8.0374E+02  1.1574E+02  1.4375E+02
0000078   8.0785E+02  2.3275E+02  9.9818E+01
0000079   8.9757E+02  1.5054E+02  7.3799E+01
0000080   6.7351E+02 -4.3122E+02 -2.5793E+02
0000081   3.3740E+02  2.8369E+02  2.6745E+02
0000082   6.1503E+02 -5.2370E+01 -4.8177E+01
0000083   7.5333E+02 -1.5068E+02  2.8488E+02
0000084   8.2748E+02  2.5241E+02  1.2890E+02
0000085   8.4396E+02  3.0243E+01  1.1582E+01
0000086   6.2593E+02 -6.4615E+01 -2.2656E+01
0000087   6.4747E+02  2.1958E+02 -1.8415E+02
0000088   9.2027E+02 -2.0738E+02 -2.8590E+01
0000089   5.6077E+02  5.5721E+01 -1.3538E+02
0000090   5.8723E+02  2.5981E+02 -1.9309E+02
0000091   8.2873E+02 -7.2058E+01  1.3206E+02
0000092   8.4510E+02 -1.7470E+02  6.5642E+01
0000093   7.1405E+02 -1.4028E+02 -7.8045E+01
0000094   5.8101E+02 -3.8648E+01 -1.9558E+02
0000095   9.6421E+02 -1.7192E+01  1.7555E+02
0000096   5.5565E+02 -2.2460E+01 -2.0839E+02
0000097   9.3852E+02  3.0929E+02 -9.3344E+01
0000098   1.0841E+03  4.0206E+01  4.2541E+01
0000099   7.1768E+02  1.9601E+02  6.9041E+01
0000100   5.2689E+02  1.0598E+02  2.5484E+02
0000101   7.6483E+02  3.6698E+01 -1.0500E+02
0000102   8.7321E+02  6.0591E+01 -4.0852E+01
0000103   5.2149E+02 -1.0063E+02  6.9845E+01
0000104   1.0124E+03  7.2686E+01  1.0419E+02
0000105   8.2818E+02  8.5947E+01  1.9803E+01
0000106   7.1146E+02 -1.6094E+02 -4.5275E+00
