============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 1000000.E-06 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.2921E+01 -9.6932E+00  1.6032E+01
0000002   2.7716E+01  1.1651E+01  7.7961E+00
0000003   3.3146E+01  4.8438E+00 -6.9875E+00
0000004   2.4584E+01  2.1206E+01 -5.7404E+00
0000005   4.9861E+01 -1.4540E+01  1.0300E+01
0000006   6.7507E+00  1.0339E+00 -8.1882E+00
0000007   3.3728E+01 -4.7089E+00 -6.5781E-01
0000008   1.9781E+01  2.5807E-01 -8.5040E-01
0000009   4.7183E+01  1.0645E+01  1.6477E+01
0000010   2.2987E+01  8.6999E-01 -1.0982E+01
0000011   1.6777E+01  1.3447E+01 -7.4280E+00
0000012   9.9916E+00 -1.2542E+01 -6.3343E+00
0000013   3.7536E+01  5.8929E+00  4.5139E+00
0000014   2.0591E+01 -1.2318E+01  4.6478E+00
0000015   3.6206E+01  3.3810E+01 -3.3789E+00
0000016   3.4047E+01 -1.5635E+01 -9.5159E+00
0000017   2.2517E+01  4.1506E+00 -2.7365E+00
0000018   2.0123E+01  4.7869E+00 -5.3797E-01
0000019   1.5679E+01  6.0657E-01 -8.4413E+00
0000020   4.2888E+01  7.4550E+00  6.0239E-02
0000021   1.8933E+01 -1.4929E+01  8.9394E-01
0000022   1.6883E+01  1.9797E+01  2.0028E+00
0000023   2.9059E+01 -4.5277E+00 -4.6071E+00
0000024   2.0666E+01  2.8356E+01  5.5602E-02
0000025   5.2762E+00  1.1549E+01  1.4238E+00
0000026   2.0011E+01  4.9310E+00 -1.1962E+01
0000027   1.3784E+01 -1.5646E+01 -1.2825E+00
0000028   5.3949E+00  7.5475E+00 -7.0722E+00
0000029   2.4600E+01 -4.2214E+00  1.7139E+01
0000030   2.5745E+01  6.9366E+00 -1.5300E+01
0000031   1.7079E+01 -1.2815E+01  1.5885E+01
0000032   2.5478E+01 -3.9946E+00  9.8993E+00
0000033   1.7142E+01 -3.1427E+00 -6.7881E+00
0000034   2.9862E+01 -3.7596E+00  1.3717E+01
0000035   2.5550E+01 -1.0568E+01 -6.6265E+00
0000036   2.0876E+01  9.5332E+00  7.0983E+00
0000037   2.9591E+01  6.7421E+00 -2.4197E+01
0000038   1.9029E+01 -1.5803E+00 -5.1340E+00
0000039   1.7672E+01  9.3489E+00  2.4743E+00
0000040   2.2955E+01  4.5784E+00 -1.4451E+01
0000041   3.0345E+01  1.5351E+01 -5.6395E+00
0000042   4.1502E+01  2.6770E+00  1.0317E+01
0000043   2.7254E+01 -6.3396E+00  4.1759E+00
0000044   2.8764E+01  2.2243E+01 -1.3195E+01
0000045   1.9215E+01 -4.7139E+00  1.0209E+01
0000046   2.7145E+01  1.4521E+01  5.3586E+00
0000047   2.9971E+01 -1.8404E+00  5.5114E+00
0000048   2.9543E+01 -4.4479E+00 -6.0171E+00
0000049   1.0225E+01  4.6449E+00  1.9719E+01
0000050   2.2885E+01 -5.3486E+00 -1.0711E+01
0000051   3.8901E+01  1.7821E+00 -1.2869E+01
0000052   3.7872E+01 -7.6149E+00 -1.6647E-01
0000053   2.6615E+01 -8.7853E-02 -4.0150E+00
0000054   1.5943E+01 -1.1242E+01 -1.1743E+01
0000055   4.0999E+01 -1.1159E+01  2.0320E+00
0000056   4.3504E+01  5.5527E+00 -4.9123E+00
0000057   3.8058E+01  2.6915E+00 -1.2378E+00
0000058   2.2428E+01 -2.5889E-01  9.7654E+00
0000059   2.5730E+01  1.1374E+01 -8.9588E+00
0000060   1.7867E+01  8.1618E+00  1.5463E+01
0000061   1.3267E+01  1.5517E+01 -3.8713E+00
0000062   2.7279E+01  4.2785E+00 -5.2173E+00
0000063   2.0376E+01  5.9627E+00  5.8416E+00
0000064   1.6468E+01 -5.5647E+00  1.2856E+01
0000065   1.2785E+01  6.4503E-02 -1.3685E+01
0000066   4.0111E+01 -2.8674E+00  1.1785E-01
0000067   3.2165E+01  9.1465E+00  1.2217E+01
0000068   2.5714E+01  3.8345E+00 -2.1245E+01
0000069   2.6712E+01  2.9642E+01 -1.4011E+00
0000070   3.0411E+01  7.3064E+00  1.7516E+01
0000071   4.7402E+01 -7.2665E+00 -9.8710E+00
0000072   3.7753E+01 -3.4722E+00  6.6983E+00
0000073   2.0755E+01 -4.8046E+00 -2.6150E+00
0000074   3.4501E+01  5.5252E+00  2.9162E+00
0000075   1.7361E+01  7.1392E+00 -8.5991E+00
0000076   3.4892E+01  9.1649E+00 -1.6869E+01
0000077   3.5286E+01 -1.5788E+01  1.9114E+01
0000078   1.4024E+01 -2.6838E-01  9.2476E-01
0000079   8.2100E+00 -9.8364E+00 -1.5604E+01
0000080   1.4282E+01  6.7485E+00  1.1161E+01
0000081   1.2204E+01 -1.0250E+01  4.9626E+00
0000082   3.0309E+01  1.0333E+01 -8.3751E+00
0000083   3.3725E+01 -2.3654E+01  3.6112E+00
0000084   1.4124E+01 -1.0865E+01 -4.9789E+00
0000085   3.8117E+01 -5.0913E+00 -7.5381E+00
0000086   3.3849E+01  2.2315E+00 -3.9151E+00
0000087   4.8021E+01 -4.0735E+00 -1.2001E+01
0000088   3.8079E+01 -1.6760E+01 -2.5531E+00
0000089   7.9338E+00 -7.8035E+00 -2.6873E+00
0000090   2.8948E+01  3.0226E+00 -1.9733E+01
0000091   2.7797E+01 -8.4886E+00  1.3081E+01
0000092   3.9318E+01 -1.0572E+00  7.6779E+00
0000093   2.0411E+01  1.6039E+01 -1.1993E+01
0000094   1.6247E+01  9.3766E+00 -1.2642E+01
0000095   4.2755E+01 -1.1314E+01 -5.3222E+00
0000096   2.9023E+01  6.3783E+00 -2.4661E+00
0000097   1.4791E+01  3.8663E-01 -8.6751E-01
0000098   2.0447E+01  1.8649E+00  7.9421E+00
0000099   1.7648E+01 -5.0230E+00 -2.0218E+01
0000100   2.1694E+01 -1.8283E+01  4.0155E+00
0000101   1.8971E+01  8.1143E+00  5.8998E+00
0000102   3.2948E+01  2.9652E+01 -1.3306E+01
0000103   1.3738E+01  4.2105E+00  2.2082E+01
0000104   4.0411E+01 -2.1912E+00 -1.2411E+01
0000105   3.9294E+01 -9.1776E+00 -5.2387E+00
0000106   3.1234E+01  1.0612E+01 -1.1192E+01
