============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   5.0114E+02 -1.0465E+02 -1.3694E+02
0000002   6.5367E+02  2.6750E+01 -8.2400E+00
0000003   3.6379E+02  5.8848E+01 -6.6520E+01
0000004   5.1926E+02  1.4008E+02 -2.6584E+01
0000005   6.5472E+02 -1.2178E+01  8.1530E+01
0000006   5.1418E+02  3.8222E+00  1.9229E+01
0000007   6.1954E+02 -2.6141E+01  1.1981E+02
0000008   5.3791E+02 -1.5209E+02 -6.1404E+01
0000009   5.8434E+02 -1.1730E+00 -8.4793E+01
0000010   6.3750E+02 -8.9303E+01 -1.0241E+02
0000011   4.3087E+02 -3.8324E+02  5.3635E+01
0000012   4.4500E+02 -1.1082E+02 -1.1771E+02
0000013   4.9447E+02  1.9733E+01  1.4433E+02
0000014   4.9435E+02 -2.4160E+02 -5.5315E+01
0000015   4.9245E+02 -1.1817E+02  2.4502E+01
0000016   3.2798E+02  1.1702E+02  5.0998E+01
0000017   3.9677E+02 -1.6220E+01  3.5943E+01
0000018   4.5196E+02 -2.7485E+02 -8.0097E+01
0000019   5.3743E+02 -1.4628E+02  1.5813E+02
0000020   6.4400E+02 -9.5236E+01  9.9848E+01
0000021   7.0336E+02  6.7069E+01 -1.2166E+02
0000022   4.2121E+02 -2.0765E+01 -6.3463E+01
0000023   3.9745E+02 -2.0281E+01  1.4783E+02
0000024   4.7034E+02  1.3225E+02 -7.6865E+01
0000025   2.1627E+02  3.7161E+01  1.3484E+02
0000026   3.3730E+02  1.9678E+02  6.1793E+00
0000027   6.1572E+02 -1.0848E+02  2.8325E+02
0000028   5.6495E+02 -1.2044E+02 -2.1434E+01
0000029   4.8302E+02 -5.6063E+01 -5.8333E+01
0000030   5.6849E+02 -1.6048E+02 -3.3617E+01
0000031   4.2095E+02  3.4711E+01 -1.1475E+01
0000032   6.3602E+02  2.8519E+00 -1.2369E+02
0000033   5.7488E+02 -1.3953E+02 -1.6949E+02
0000034   4.5695E+02 -1.0392E+02  1.3037E+00
0000035   2.9348E+02 -6.8130E+01 -1.1061E+02
0000036   5.7639E+02  1.0983E+02 -6.9311E+01
0000037   5.8839E+02 -1.8857E+01 -1.0237E+02
0000038   3.3553E+02 -2.0969E+02  1.2275E+02
0000039   5.9186E+02  1.0755E+02 -4.7312E+01
0000040   2.7003E+02 -7.4369E+01  1.3873E+02
0000041   4.9314E+02 -4.7433E+01  6.8201E+01
0000042   2.0457E+02  1.0816E+02  8.4986E+01
0000043   5.4585E+02 -2.1318E+01  3.3977E+02
0000044   4.7870E+02  2.8861E+02  7.1949E+01
0000045   6.1020E+02  1.0350E+02  3.7514E+01
0000046   5.1293E+02  4.4101E+01 -1.1092E+02
0000047   4.2181E+02  1.0622E+02  9.5709E+01
0000048   3.9145E+02  8.5722E+00 -9.3954E+01
0000049   5.8762E+02 -2.0712E+02 -1.3144E+02
0000050   6.4994E+02  2.6422E+02  1.6921E+02
0000051   5.4314E+02 -4.2617E+01  2.7283E+01
0000052   5.3806E+02  7.5630E+01 -1.7965E+01
0000053   4.4179E+02 -3.3394E+02  9.0797E+01
0000054   1.5806E+02  5.5745E+01  1.0882E+01
0000055   4.3766E+02 -5.1852E+01  1.3016E+01
0000056   4.1128E+02  4.4779E+01  2.6454E+01
0000057   3.8987E+02 -1.4593E+01 -1.2550E+02
0000058   5.8196E+02 -2.4637E+02 -5.3174E+00
0000059   5.7583E+02 -1.5872E+02 -1.0929E+01
0000060   2.5085E+02  1.5659E+02  7.4685E+01
0000061   4.5924E+02 -4.5026E+00 -1.3382E+02
0000062   8.4238E+01 -2.2955E+01 -6.7642E+01
0000063   5.9173E+02 -3.4546E+01  1.1604E+02
0000064   4.0903E+02 -1.0053E+02  2.0579E+02
0000065   3.7935E+02  1.9469E+01  2.3332E+02
0000066   4.6745E+02  8.0588E+01  3.2117E+02
0000067   5.2081E+02  9.1540E+01 -1.9005E+02
0000068   5.1414E+02  9.9396E+01  3.3584E+01
0000069   5.9059E+02  7.6411E+01  7.7895E+01
0000070   5.4743E+02 -1.4411E+02  1.3805E+02
0000071   3.5025E+02  2.3060E+02  2.1154E+02
0000072   5.4434E+02  7.3774E+01 -1.6665E+02
0000073   4.5066E+02  9.8214E+01  6.4831E+01
0000074   2.7617E+02 -6.9852E+01 -6.8781E+01
0000075   5.0862E+02 -2.5356E+01  6.6947E+01
0000076   6.0186E+02 -8.8973E+01 -5.2345E+00
0000077   4.6746E+02 -5.4578E+01  1.5249E+02
0000078   4.3761E+02 -1.0279E+02 -1.7225E+01
0000079   4.4846E+02  1.3080E+02 -4.6655E+01
0000080   5.7146E+02  1.3246E+02 -4.2275E+01
0000081   4.2077E+02 -2.5076E+01 -1.8197E+01
0000082   2.9693E+02  5.0631E+01 -1.0419E+02
0000083   5.3492E+02 -4.3380E+01  6.3539E+01
0000084   5.2834E+02 -7.5180E+01  9.9290E+01
0000085   5.7810E+02  1.9808E+02 -5.0688E+01
0000086   4.6367E+02  1.5372E+02  1.3777E+02
0000087   5.8213E+02  8.9951E+00  9.2731E-01
0000088   3.3111E+02 -6.0316E+01 -1.2554E+01
0000089   5.0910E+02 -5.7068E+01  8.5303E+01
0000090   4.5730E+02 -8.1833E+01 -7.4280E+01
0000091   5.1983E+02  1.6343E+02 -4.0935E+00
0000092   5.7051E+02 -2.6007E+02 -2.4300E+00
0000093   3.5319E+02  1.3673E+01  9.2385E+01
0000094   3.1944E+02 -6.8460E+01  1.3171E+02
0000095   4.6357E+02 -4.6249E+01 -2.0023E+02
0000096   4.1011E+02 -6.9236E+01  2.0233E+02
0000097   6.1246E+02  1.2700E+02  3.3103E+01
0000098   4.7834E+02 -6.7231E+01  3.8431E+01
0000099   6.2995E+02 -5.1313E+01 -2.9821E+02
0000100   3.4380E+02 -6.0755E+01 -3.1633E+01
0000101   5.7895E+02 -3.5288E+01 -1.5929E+00
0000102   3.6433E+02  2.1124E+01 -3.8859E+01
0000103   2.7392E+02 -6.4909E+01 -6.4262E+00
0000104   5.3095E+02 -1.7565E+02 -6.1539E+01
0000105   4.2903E+02 -5.1727E+01  8.8298E+01
0000106   5.2046E+02  1.0679E+02 -2.7354E+01
