============================== SRIM-2013.00 ==============================
==============================================================================
------------------------------------------------------------------------------
====== TRIM Calc.=  C(24.4 keV) ==> None(  2 um) =============================
------------------------------------------------------------------------------
============================================================
º     Ion Name   =      C                                  º
º     Ion Mass   =    012.011 amu                          º
º     Ion Energy =000000024.4 keV                          º
============================================================
>      C  Displacement Energy of  C = 0028.00000 eV
  Latt.Binding Energy of  C = 0003.00000 eV
  SurfaceBind. Energy of  C = 0007.41000 eV
============================================================
 
==========================  COLLISION HISTORY  =======================================================
  NOTES: Only Ion Collisions which produce Displacements are tabulated.                               
         Atom Sums and Averages are Incomplete if Recoil Cascades Leave Target.                       
         Target DISPlacements = VACancies + REPLACement Collisions.                                   
         Target VACancies = INTERstitials + Sputtered + Transmitted Atoms.                            
                            Recoil Atoms which end at the surface, are not counted (see manual).      
======================================================================================================
  Ion    Energy    Depth     Lateral Distance (A)   Se    Atom  Recoil    Target Target Target Target 
  Numb   (keV)      (A)       Y Axis    Z Axis    (eV/A)  Hit  Energy(eV) DISP.  VAC.   REPLAC INTER  
------------------------------------------------------------------------------------------------------
³00001³22.69E+00³28355.E-03³-1982.E-04³-1739.E-04³0041.72³  C ³57246.E-02³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  57246.E-02 2836.E-02 -1982.E-04 -1739.E-04  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  35820.E-02 3292.E-02 -7167.E-03 -6699.E-03  1   00 Û
Û 00003   06  10985.E-02 3728.E-02 -8204.E-03 -4731.E-03  1   00 Û
Û 00045   06  32318.E-03 6871.E-02  7429.E-03  2268.E-03  1   00 Û
Û 00046   06  11652.E-02 6424.E-02  2221.E-03  4851.E-03  1   00 Û
Û 00047   06  44304.E-03 6564.E-02  3538.E-03  7638.E-03  1   00 Û
Û 00048   06  40570.E-03 6460.E-02  3325.E-03  6206.E-03  1   00 Û
Û 00049   06  59886.E-01 6203.E-02  2020.E-03  2584.E-03  1   00 Û
Û 00050   06  37263.E-03 1197.E-01  1105.E-01  2990.E-02  1   00 Û
Û 00051   06  33922.E-03 1194.E-01  1118.E-01  2863.E-02  1   00 Û
Û 00052   06  29429.E-03 1183.E-01  1129.E-01  2784.E-02  1   00 Û
Û 00053   06  45416.E-03 1159.E-01  1156.E-01  2778.E-02  1   00 Û
Û 00054   06  38897.E-03 1133.E-01  1177.E-01  2895.E-02  1   00 Û
Û 00055   06  30121.E-03 1139.E-01  1174.E-01  3060.E-02  1   00 Û
Û 00056   06  13297.E-02 1118.E-01  1182.E-01  2969.E-02  1   00 Û
Û 00057   06  10112.E-02 1126.E-01  1192.E-01  2851.E-02  1   00 Û
Û 00058   06  38420.E-03 1138.E-01  1179.E-01  2823.E-02  1   00 Û
Û 00059   06  32175.E-03 1090.E-01  1204.E-01  2963.E-02  1   00 Û
Û 00060   06  38060.E-03 1059.E-01  1221.E-01  2889.E-02  1   00 Û
Û 00061   06  65285.E-03 1037.E-01  1248.E-01  2899.E-02  1   00 Û
Û 00062   06  53656.E-03 1041.E-01  1231.E-01  2937.E-02  1   00 Û
Û 00063   06  30251.E-03 1051.E-01  1219.E-01  3029.E-02  1   00 Û
Û 00064   06  69217.E-03 9908.E-02  1274.E-01  2977.E-02  1   00 Û
Û 00065   06  51888.E-03 9960.E-02  1271.E-01  3144.E-02  1   00 Û
Û 00066   06  00000.E+00 1005.E-01  1261.E-01  3020.E-02  0   01 Û
Û 00067   06  43412.E-03 1005.E-01  1261.E-01  3020.E-02  1   00 Û
Û 00068   06  32090.E-03 1019.E-01  1256.E-01  2929.E-02  1   00 Û
Û 00069   06  37918.E-02 9558.E-02  1277.E-01  3041.E-02  1   00 Û
Û 00070   06  19302.E-02 9747.E-02  1301.E-01  3203.E-02  1   00 Û
Û 00071   06  11471.E-02 9987.E-02  1317.E-01  3408.E-02  1   00 Û
Û 00072   06  28275.E-03 1021.E-01  1290.E-01  3425.E-02  1   00 Û
Û 00073   06  10027.E-02 9650.E-02  1292.E-01  3084.E-02  1   00 Û
Û 00074   06  31587.E-03 9827.E-02  1300.E-01  2798.E-02  1   00 Û
Û 00075   06  94402.E-03 9254.E-02  1259.E-01  3060.E-02  1   00 Û
Û 00076   06  46222.E-03 9131.E-02  1246.E-01  3045.E-02  1   00 Û
Û 00077   06  10538.E-02 8187.E-02  1121.E-01  2719.E-02  1   00 Û
Û 00078   06  34638.E-03 8248.E-02  1156.E-01  3101.E-02  1   00 Û
Û 00079   06  16865.E-02 8102.E-02  1107.E-01  2634.E-02  1   00 Û
Û 00080   06  10394.E-02 8231.E-02  1134.E-01  2204.E-02  1   00 Û
Û 00081   06  28794.E-03 8650.E-02  1137.E-01  2497.E-02  1   00 Û
Û 00082   06  10490.E-02 7384.E-02  9111.E-02  2186.E-02  1   00 Û
Û 00083   06  36104.E-03 7443.E-02  9578.E-02  2430.E-02  1   00 Û
Û 00084   06  42630.E-03 7352.E-02  8763.E-02  2111.E-02  1   00 Û
Û 00085   06  49391.E-02 7326.E-02  8588.E-02  2093.E-02  1   00 Û
Û 00086   06  00000.E+00 7048.E-02  9260.E-02  1055.E-02  0   01 Û
Û 00087   06  32345.E-03 7048.E-02  9260.E-02  1055.E-02  1   00 Û
Û 00088   06  38490.E-02 7209.E-02  8828.E-02  1249.E-02  1   00 Û
Û 00089   06  37867.E-03 6687.E-02  8631.E-02  2553.E-03  1   00 Û
Û 00090   06  16630.E-02 6791.E-02  8768.E-02  3032.E-03  1   00 Û
Û 00091   06  53440.E-03 6715.E-02  8009.E-02  1002.E-02  1   00 Û
Û 00092   06  60173.E-03 7118.E-02  8759.E-02  1112.E-02  1   00 Û
Û 00093   06  67735.E-05 7101.E-02  8868.E-02  6159.E-03  0   01 Û
Û 00094   06  34108.E-03 7101.E-02  8868.E-02  6159.E-03  1   00 Û
Û 00095   06  45630.E-02 7312.E-02  8420.E-02  2150.E-02  1   00 Û
Û 00096   06  58606.E-03 7435.E-02  7121.E-02  3507.E-02  1   00 Û
Û 00097   06  30887.E-03 7372.E-02  7365.E-02  3259.E-02  1   00 Û
Û 00098   06  70698.E-03 7432.E-02  7516.E-02  3186.E-02  1   00 Û
Û 00099   06  49859.E-03 7387.E-02  7669.E-02  3105.E-02  1   00 Û
Û 00100   06  39982.E-03 7379.E-02  8290.E-02  2468.E-02  1   00 Û
Û 00101   06  73354.E-03 7324.E-02  8381.E-02  2324.E-02  1   00 Û
Û 00102   06  67164.E-03 7330.E-02  8488.E-02  2182.E-02  1   00 Û
Û 00103   06  55113.E-03 7354.E-02  8487.E-02  2005.E-02  1   00 Û
Û 00104   06  78611.E-03 7030.E-02  6119.E-02  2123.E-02  1   00 Û
Û 00105   06  29426.E-03 7030.E-02  6223.E-02  2268.E-02  1   00 Û
Û 00106   06  99678.E-03 7141.E-02  3849.E-02  1669.E-02  1   00 Û
Û 00107   06  60005.E-03 7143.E-02  3766.E-02  1827.E-02  1   00 Û
