============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 3000000.E-06 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.2777E+01 -7.0230E+00 -1.8690E+01
0000002   3.3777E+01 -1.6622E+01 -1.1068E+01
0000003   5.7793E+01 -1.6990E+01  1.8510E+00
0000004   2.9294E+01  8.4359E+00  5.7202E+00
0000005   6.0566E+01  1.9631E+01 -3.3681E+01
0000006   9.4484E+01  4.2843E+00 -1.5748E+01
0000007   5.7951E+01 -1.0462E+01  7.3571E+00
0000008   5.9138E+01  5.8270E+00  2.9571E+01
0000009   1.0337E+02  6.9690E-01  8.0784E+00
0000010   6.9555E+01  1.2780E+01  7.2794E+00
0000011   4.0551E+01 -2.9195E+00 -2.1362E+01
0000012   7.5791E+01  1.2152E+01 -1.4515E+01
0000013   5.9609E+01  1.3562E+01  5.0570E+01
0000014   1.9302E+01 -2.0577E+01 -4.6796E+01
0000015   6.6819E+01 -6.4264E+01  1.0643E+00
0000016   4.9233E+01  2.5366E+01  6.7159E+00
0000017   2.9352E+01 -5.8796E+00  1.9119E+01
0000018   4.2571E+01 -1.7686E+01  2.2202E+01
0000019   8.0029E+01  3.7621E+00 -1.8579E+01
0000020   8.2069E+01  6.3978E+00 -9.5273E+00
0000021   6.0107E+01  2.3448E+01  2.4837E-01
0000022   7.9702E+01 -3.6779E+01  8.4824E-01
0000023   3.4649E+01  2.1384E+01  7.9427E+00
0000024   6.2132E+01 -3.8788E+01  8.7203E+00
0000025   4.7963E+01 -1.7444E+01  4.3958E+00
0000026   4.4628E+01 -8.6654E+00  3.1146E+01
0000027   9.8109E+01  2.0685E+01  1.8400E+01
0000028   9.0645E+00  6.7159E+00 -6.4536E+00
0000029   7.3494E+01  9.2196E+00 -7.5695E+00
0000030   8.7083E+01 -2.1653E+01  3.5329E+00
0000031   5.1590E+01  2.0181E+01  8.6784E+00
0000032   8.1029E+01  9.3703E+00 -5.6857E+00
0000033   6.0885E+01  9.4770E+00  1.8300E+01
0000034   6.9404E+01 -1.6325E+01 -4.5103E+01
0000035   5.3618E+01 -2.4251E+01 -1.9404E+01
0000036   2.2058E+01  2.3166E+01  7.7932E+00
0000037   6.3144E+01 -1.9974E+00  1.5780E+01
0000038   5.1939E+01 -3.5594E+00  2.0723E+01
0000039   7.8595E+01 -1.5108E+00  2.4399E+01
0000040   3.5786E+01  3.6367E+00  4.4220E-01
0000041   6.2525E+01  3.0133E+01 -3.7661E+01
0000042   4.9347E+01  2.1993E+01  3.0213E+01
0000043   3.0562E+01  6.9576E+00 -2.3799E+00
0000044   5.8531E+01  1.7944E+01 -8.1654E+00
0000045   7.2142E+01  1.6893E+01 -5.1507E+00
0000046   6.0354E+01  2.3134E+01 -2.0276E+01
0000047   4.8477E+01 -6.5658E+00 -2.5976E+01
0000048   1.6073E+01  2.4051E+00  1.3192E+01
0000049   1.0956E+01 -4.8701E+01 -4.4623E+01
0000050   6.0920E+01  8.8330E+00 -1.4601E+01
0000051   6.9862E+01  4.4772E+00  1.4250E+01
0000052   3.9793E+01 -8.0638E+00 -2.8198E+01
0000053   3.7542E+01 -2.7008E-01 -7.6974E+00
0000054   4.3769E+01  3.5279E+01  1.3236E+01
0000055   3.6751E+01 -2.7968E+00 -1.6505E+01
0000056   2.4223E+01 -1.7258E+01  9.0230E-01
0000057   2.6626E+01 -5.5890E+00  1.0175E+01
0000058   4.1787E+01  1.0802E+01 -1.7939E+01
0000059   6.6824E+01 -1.7881E+00 -2.2258E+01
0000060   4.2524E+01 -1.1241E+00  5.2082E-01
0000061   7.8458E+01  1.1143E+01  3.3619E+01
0000062   4.9928E+01  6.5411E+00 -2.1969E+01
0000063   8.1582E+01  3.9165E+01 -4.2726E+01
0000064   8.8898E+01 -5.0721E+01 -2.5874E+01
0000065   3.3279E+01 -5.8601E+00  2.6968E+01
0000066   3.1402E+01 -1.7094E+00  2.2083E+00
0000067   8.6540E+01  2.9226E+01 -2.0027E+01
0000068   4.5583E+01  8.0379E+00  6.6851E+00
0000069   3.5473E+01  1.9539E+01  2.7862E+01
0000070   1.1860E+02 -1.1070E+01  3.0087E+01
0000071   4.6456E+01  1.4810E+01  8.5023E+00
0000072   5.8414E+01 -1.6031E+01 -2.8315E+01
0000073   4.0506E+01 -3.0619E-01  3.3427E+00
0000074   5.3445E+01  1.0955E+01 -2.0765E+01
0000075   4.1866E+01  2.1942E+01  1.9642E+01
0000076   8.4031E+01 -4.8898E+00 -1.4537E+00
0000077   4.1860E+01  3.7976E+00  4.7953E-02
0000078   1.0339E+02  3.8805E+00 -3.0472E+01
0000079   8.2549E+01  2.1468E+01  7.6932E+00
0000080   8.1957E+01  3.4641E+01 -4.6313E+00
0000081   5.9134E+01 -1.2946E+01 -3.6563E+01
0000082   5.1392E+01 -2.3111E+01 -6.7298E+00
0000083   4.7884E+01 -1.0303E+01 -2.1969E+01
0000084   4.7241E+01 -3.1468E+01 -1.4876E+01
0000085   9.2077E+01  1.6495E+01  9.3994E+00
0000086   5.4521E+01 -4.1053E+01  9.1887E+00
0000087   3.3661E+01  1.7332E+01 -9.8833E+00
0000088   6.8925E+01 -7.1567E+00  7.7971E+00
0000089   5.4188E+01 -3.6052E+01  1.4997E+00
0000090   8.3568E+01 -9.1228E+00  1.3478E+01
0000091   7.9376E+01 -8.1798E+00  4.2435E+01
0000092   6.7348E+01 -1.7798E+01  5.8550E+00
0000093   5.3903E+01  3.6598E+01  1.3821E+01
0000094   3.5967E+01  2.0740E+01 -3.9007E+01
0000095   4.2393E+01  2.7116E+00  4.1228E+01
0000096   2.0771E+01 -1.9023E+01  1.0688E+01
0000097   4.0295E+01  2.9433E+01  4.0366E+00
0000098   3.1836E+01 -4.0858E+01 -1.0170E+01
0000099   4.9285E+01 -1.5498E+01 -1.7652E+01
0000100   2.9132E+01  7.5504E+00  4.3050E+01
0000101   5.4397E+01  6.4998E+00 -6.1542E+01
0000102   5.3064E+01 -1.3346E+00  2.2501E+01
0000103   8.1872E+01  5.9711E+00 -2.7321E+01
0000104   5.2475E+01 -4.1692E+01  3.9858E+00
0000105   5.9717E+01 -1.9084E+01 -1.6329E+01
0000106   7.1173E+01 -1.1255E+01 -6.3298E+00
0000107   3.2383E+01  2.0872E+01  2.6294E+01
