============================== SRIM-2013.00 ==============================
==============================================================================
------------------------------------------------------------------------------
====== TRIM Calc.=  C(39.0 keV) ==> None(  2 um) =============================
------------------------------------------------------------------------------
============================================================
º     Ion Name   =      C                                  º
º     Ion Mass   =    012.011 amu                          º
º     Ion Energy =000000039.0 keV                          º
============================================================
>      C  Displacement Energy of  C = 0028.00000 eV
  Latt.Binding Energy of  C = 0003.00000 eV
  SurfaceBind. Energy of  C = 0007.41000 eV
============================================================
 
==========================  COLLISION HISTORY  =======================================================
  NOTES: Only Ion Collisions which produce Displacements are tabulated.                               
         Atom Sums and Averages are Incomplete if Recoil Cascades Leave Target.                       
         Target DISPlacements = VACancies + REPLACement Collisions.                                   
         Target VACancies = INTERstitials + Sputtered + Transmitted Atoms.                            
                            Recoil Atoms which end at the surface, are not counted (see manual).      
======================================================================================================
  Ion    Energy    Depth     Lateral Distance (A)   Se    Atom  Recoil    Target Target Target Target 
  Numb   (keV)      (A)       Y Axis    Z Axis    (eV/A)  Hit  Energy(eV) DISP.  VAC.   REPLAC INTER  
------------------------------------------------------------------------------------------------------
³00001³32.87E+00³87531.E-03³-3245.E-04³ 1655.E-03³0048.33³  C ³36598.E-03³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  36598.E-03 8753.E-02 -3245.E-04  1655.E-03  1   00 Û<ÄPrime RecoilÛ
==================================================================
³                                Summary of Above Cascade ==> ³36598.E-03³000001³000001³000000³000001³
³00001³30.83E+00³13588.E-02³-1386.E-03³ 4094.E-03³0047.05³  C ³46879.E-03³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  46879.E-03 1359.E-01 -1386.E-03  4094.E-03  1   00 Û<ÄPrime RecoilÛ
==================================================================
³                                Summary of Above Cascade ==> ³46879.E-03³000001³000001³000000³000001³
³00001³29.98E+00³15365.E-02³-1995.E-03³ 5678.E-03³0046.53³  C ³34362.E-03³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  34362.E-03 1537.E-01 -1995.E-03  5678.E-03  1   00 Û<ÄPrime RecoilÛ
==================================================================
³                                Summary of Above Cascade ==> ³34362.E-03³000001³000001³000000³000001³
³00001³28.90E+00³16487.E-02³-2715.E-03³ 6503.E-03³0045.85³  C ³11112.E-02³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  11112.E-02 1649.E-01 -2715.E-03  6503.E-03  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  00000.E+00 1661.E-01 -5534.E-03  1077.E-02  0   01 Û
Û 00003   06  68033.E-03 1661.E-01 -5534.E-03  1077.E-02  1   00 Û
Û 00004   06  42444.E-03 1673.E-01 -4227.E-03  1037.E-02  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³11112.E-02³000003³000002³000001³000003³
³00001³28.10E+00³17256.E-02³-2802.E-03³ 6816.E-03³0045.36³  C ³95288.E-02³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  95288.E-02 1726.E-01 -2802.E-03  6816.E-03  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  47982.E-03 1698.E-01 -2762.E-02 -3003.E-03  1   00 Û
Û 00003   06  25490.E-02 1718.E-01 -2544.E-02 -1168.E-03  1   00 Û
Û 00004   06  10010.E-02 1771.E-01 -3359.E-02 -5388.E-05  1   00 Û
Û 00005   06  00000.E+00 1830.E-01 -3410.E-02  2741.E-03  0   01 Û
Û 00006   06  38281.E-03 1830.E-01 -3410.E-02  2741.E-03  1   00 Û
Û 00007   06  36097.E-03 1788.E-01 -3300.E-02 -2684.E-06  1   00 Û
Û 00008   06  61342.E-03 1748.E-01 -3138.E-02  1241.E-03  1   00 Û
Û 00009   06  37301.E-03 1715.E-01 -2432.E-02  1676.E-04  1   00 Û
Û 00010   06  69411.E-03 1715.E-01 -2134.E-02  2123.E-03  1   00 Û
Û 00011   06  00000.E+00 1701.E-01 -2312.E-02  6731.E-03  0   01 Û
Û 00012   06  34174.E-03 1701.E-01 -2312.E-02  6731.E-03  1   00 Û
Û 00013   06  29834.E-03 1714.E-01 -2030.E-02  3569.E-03  1   00 Û
Û 00014   06  12053.E-02 1723.E-01 -1817.E-02  6293.E-03  1   00 Û
Û 00015   06  67149.E-03 1719.E-01 -1768.E-02  4609.E-03  1   00 Û
Û 00016   06  65832.E-03 1730.E-01 -1666.E-02  6916.E-03  1   00 Û
Û 00017   06  28693.E-03 1729.E-01 -1805.E-02  5801.E-03  1   00 Û
Û 00018   06  86249.E-03 1738.E-01 -7872.E-03  7934.E-03  1   00 Û
Û 00019   06  33502.E-03 1715.E-01 -1086.E-02  2624.E-03  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³95288.E-02³000017³000015³000002³000017³
³00001³25.56E+00³18986.E-02³-6658.E-04³ 9729.E-03³0043.82³  C ³14725.E+00³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  14725.E+00 1899.E-01 -6658.E-04  9729.E-03  1   00 Û<ÄPrime RecoilÛ
Û 00066   06  59996.E-03 4069.E-01  8680.E-02  9555.E-02  1   00 Û
Û 00067   06  35145.E-03 3897.E-01  9256.E-02  9141.E-02  1   00 Û
Û 00068   06  16167.E-02 3690.E-01  8830.E-02  7848.E-02  1   00 Û
Û 00069   06  50921.E-03 3700.E-01  8899.E-02  7156.E-02  1   00 Û
Û 00070   06  75342.E-03 3571.E-01  8202.E-02  7372.E-02  1   00 Û
Û 00071   06  75066.E-03 3434.E-01  7458.E-02  6989.E-02  1   00 Û
Û 00072   06  95655.E-03 3330.E-01  6932.E-02  6545.E-02  1   00 Û
Û 00073   06  35892.E-03 3332.E-01  6992.E-02  6378.E-02  1   00 Û
Û 00074   06  44003.E-03 3259.E-01  6442.E-02  6305.E-02  1   00 Û
Û 00075   06  92312.E-03 3202.E-01  6034.E-02  6209.E-02  1   00 Û
Û 00076   06  52169.E-03 3209.E-01  5427.E-02  6554.E-02  1   00 Û
Û 00077   06  35556.E-03 3221.E-01  5296.E-02  6522.E-02  1   00 Û
Û 00078   06  88168.E-03 3078.E-01  5366.E-02  5975.E-02  1   00 Û
Û 00079   06  76295.E-03 3079.E-01  5337.E-02  6150.E-02  1   00 Û
Û 00080   06  47026.E-03 2799.E-01  4081.E-02  5034.E-02  1   00 Û
Û 00081   06  41959.E-03 2783.E-01  4012.E-02  4985.E-02  1   00 Û
Û 00082   06  66310.E-02 2690.E-01  3622.E-02  4635.E-02  1   00 Û
Û 00083   06  57247.E-03 2726.E-01  6749.E-02  4227.E-02  1   00 Û
Û 00084   06  28025.E-03 2737.E-01  6733.E-02  4087.E-02  1   00 Û
Û 00085   06  57652.E-03 2714.E-01  6483.E-02  4419.E-02  1   00 Û
Û 00086   06  17064.E-02 2744.E-01  5077.E-02  4950.E-02  1   00 Û
Û 00087   06  51092.E-03 2771.E-01  4108.E-02  5270.E-02  1   00 Û
Û 00088   06  30667.E-03 2775.E-01  3965.E-02  5368.E-02  1   00 Û
Û 00089   06  46676.E-03 2524.E-01  2446.E-02  3522.E-02  1   00 Û
Û 00090   06  60609.E-02 2293.E-01  1067.E-02  2116.E-02  1   00 Û
Û 00091   06  35694.E-03 2360.E-01 -8496.E-03  8357.E-03  1   00 Û
Û 00092   06  46213.E-03 2373.E-01 -4026.E-03  1049.E-02  1   00 Û
Û 00093   06  40097.E-03 2355.E-01 -1201.E-03  1458.E-02  1   00 Û
Û 00094   06  30073.E-03 2359.E-01 -2139.E-03  1315.E-02  1   00 Û
Û 00095   06  13376.E-02 2293.E-01  5565.E-03  1994.E-02  1   00 Û
Û 00096   06  89831.E-03 2292.E-01  7228.E-03  1930.E-02  1   00 Û
Û 00097   06  00000.E+00 2307.E-01  3531.E-03  2481.E-02  0   01 Û
Û 00098   06  30703.E-03 2307.E-01  3531.E-03  2481.E-02  1   00 Û
Û 00099   06  89063.E-03 2297.E-01  8918.E-03  2110.E-02  1   00 Û
Û 00100   06  40423.E-03 2297.E-01  2512.E-03  1855.E-02  1   00 Û
Û 00101   06  92774.E-02 2135.E-01  4844.E-03  1522.E-02  1   00 Û
Û 00102   06  72089.E-02 2161.E-01 -3411.E-03  1705.E-02  1   00 Û
Û 00103   06  38231.E-03 2122.E-01  1461.E-02  8504.E-03  1   00 Û
Û 00104   06  37186.E-03 2129.E-01  1204.E-02  1081.E-02  1   00 Û
Û 00105   06  41453.E-03 2134.E-01  1196.E-02  1252.E-02  1   00 Û
Û 00106   06  35392.E-03 2153.E-01  1317.E-02  1521.E-02  1   00 Û
Û 00107   06  78718.E-03 2167.E-01  1301.E-02  1632.E-02  1   00 Û
Û 00108   06  00000.E+00 2161.E-01  1225.E-02  1780.E-02  0   01 Û
Û 00109   06  74883.E-03 2161.E-01  1225.E-02  1780.E-02  1   00 Û
Û 00110   06  30089.E-03 2190.E-01  1080.E-02  1796.E-02  1   00 Û
Û 00111   06  60099.E-03 2200.E-01  7627.E-03  1921.E-02  1   00 Û
Û 00112   06  41807.E-03 2202.E-01  4067.E-03  1914.E-02  1   00 Û
Û 00113   06  14417.E-02 2198.E-01  2341.E-03  1917.E-02  1   00 Û
Û 00114   06  30638.E-03 2219.E-01  4569.E-04  2723.E-02  1   00 Û
Û 00115   06  58514.E-03 2157.E-01 -1881.E-03  1626.E-02  1   00 Û
Û 00116   06  30154.E-03 2158.E-01 -1977.E-03  1804.E-02  1   00 Û
Û 00117   06  13668.E-02 2118.E-01  4592.E-03  1493.E-02  1   00 Û
Û 00118   06  22005.E-02 1982.E-01  1192.E-03  1244.E-02  1   00 Û
Û 00119   06  66472.E-03 1989.E-01  6174.E-03  1959.E-02  1   00 Û
Û 00120   06  33143.E-03 1981.E-01  7200.E-03  2284.E-02  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³14725.E+00³000116³000112³000004³000116³
³00001³10.55E+00³19320.E-02³ 2583.E-03³ 1514.E-02³0028.45³  C ³13994.E-02³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  13994.E-02 1932.E-01  2583.E-03  1514.E-02  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  17902.E-05 1876.E-01  4012.E-03  1631.E-02  0   01 Û
Û 00003   06  32595.E-03 1876.E-01  4012.E-03  1631.E-02  1   00 Û
Û 00004   06  61579.E-03 1922.E-01  2173.E-03  1656.E-02  1   00 Û
Û 00005   06  00000.E+00 1917.E-01 -2497.E-03  1839.E-02  0   01 Û
