============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 7000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   9.9698E+02 -3.5445E+01  2.0576E+01
0000002   7.8544E+02 -2.6371E+01  4.6091E+02
0000003   8.6786E+02  1.7801E+02  2.2749E+02
0000004   6.5305E+02 -1.7918E+02  1.7483E+02
0000005   1.1412E+03 -2.5265E+01  1.5230E+02
0000006   7.3082E+02  5.0474E+02 -8.1349E-01
0000007   1.0143E+03 -1.5228E+02  1.2105E+02
0000008   9.1961E+02  2.2753E+02 -2.1910E+02
0000009   6.1581E+02 -1.2732E+02 -1.5255E+02
0000010   8.8717E+02  2.1444E+02  2.8203E+02
0000011   1.0725E+03 -1.1906E+02  5.7283E+01
0000012   9.5437E+02  6.7575E+01 -2.9837E+02
0000013   9.7609E+02  2.7920E+02 -6.3129E+01
0000014   8.7729E+02 -1.3281E+02 -1.7345E+02
0000015   9.8906E+02 -8.3130E+01 -2.1521E+02
0000016   7.7749E+02 -7.2156E+01 -9.3977E+01
0000017   1.1300E+03  5.9277E+01 -1.5761E+02
0000018   9.7369E+02 -4.6584E+01  3.6935E+02
0000019   8.0936E+02  1.1998E+01 -3.8671E+02
0000020   1.0787E+03  2.3649E+01 -1.1103E+01
0000021   1.0258E+03  6.6640E+01  1.5066E+01
0000022   9.2013E+02 -4.1576E+02  2.1159E+02
0000023   9.4310E+02 -3.0436E+02  1.6345E+02
0000024   1.0984E+03  2.3562E+02 -1.2329E+02
0000025   8.2464E+02 -2.5428E+02 -1.3361E+02
0000026   1.1306E+03  2.2627E+02  3.0135E+02
0000027   1.1998E+03  1.1883E+02 -5.8566E+01
0000028   1.0923E+03 -1.4388E+02  3.4587E+02
0000029   1.0169E+03 -4.7942E+02  1.9108E+01
0000030   9.1696E+02 -5.9321E+01 -2.2617E+02
0000031   1.0912E+03  1.1704E+02  4.9631E+01
0000032   9.3544E+02  3.1486E+02  1.3052E+02
0000033   1.2325E+03 -6.2098E+00 -8.1089E+01
0000034   1.0378E+03  1.0412E+02 -3.5171E+02
0000035   8.9986E+02  6.1648E+01 -2.9312E+02
0000036   6.8212E+02 -3.5476E+00 -1.6311E+02
0000037   1.2486E+03  2.5608E+02 -3.0020E+02
0000038   1.0733E+03 -1.7040E+02  1.9384E+02
0000039   8.4179E+02  1.9660E+02 -1.2668E+02
0000040   8.7989E+02 -8.4735E+01  2.9903E+02
0000041   9.3606E+02 -2.1558E+02 -5.3165E-01
0000042   1.1313E+03 -1.2442E+01  8.6767E+01
0000043   1.0766E+03  9.7604E+01 -2.0844E+02
0000044   8.4070E+02  2.0101E+02  5.8861E-01
0000045   8.3883E+02  3.4991E+02  3.1034E+02
0000046   6.1486E+02 -3.3451E+02  9.4118E+01
0000047   6.1671E+02 -1.4858E+02 -2.5025E+02
0000048   1.0164E+03  3.4507E+02  2.9187E+01
0000049   1.2859E+03 -2.1069E+02  8.3757E+01
0000050   8.7983E+02  5.4597E+01 -2.7136E+02
0000051   8.3642E+02  1.5707E+02  4.1841E+01
0000052   1.3445E+03 -1.1200E+02 -9.7205E+01
0000053   1.0762E+03 -4.2447E+01 -4.9381E+01
0000054   9.8803E+02  2.4814E+02 -4.3867E+01
0000055   8.8275E+02 -5.8635E+01 -4.7160E+01
0000056   1.1005E+03 -5.6770E+01  3.5264E+02
0000057   9.1168E+02 -1.8087E+01 -2.3441E+01
0000058   9.7297E+02 -5.7342E+01 -1.6595E+00
0000059   1.1100E+03  9.6355E+01  5.5196E+01
0000060   6.9928E+02 -1.1743E+02 -5.3839E+01
0000061   1.0628E+03  7.3642E+01  3.4009E+02
0000062   8.0263E+02  2.4730E+02  2.3384E+02
0000063   1.1487E+03  1.6589E+02  9.0936E+01
0000064   1.0681E+03  2.5978E+02 -3.1958E+02
0000065   8.1797E+02  1.1790E+02  9.3173E+01
0000066   9.8879E+02 -2.5425E+01  4.0824E+02
0000067   1.1264E+03 -2.1840E+02  3.6126E+02
0000068   7.7930E+02 -5.0498E+01 -2.7447E+02
0000069   8.1285E+02  1.4666E+02 -2.6644E+02
0000070   6.8775E+02 -1.2913E+02 -1.1223E+01
0000071   1.1662E+03  1.1339E+02 -2.3462E+02
0000072   9.0935E+02  6.9266E+01  2.6227E+02
0000073   9.6362E+02  2.4365E+02  2.4372E+00
0000074   9.8022E+02 -3.5633E+02  1.2844E+02
0000075   7.1926E+02  2.0555E+02  1.8652E+01
0000076   1.2082E+03  2.1647E+01  3.1803E+01
0000077   9.9466E+02  1.9695E+02 -2.6828E+01
0000078   9.6294E+02 -4.7289E+02 -2.5528E+02
0000079   6.1940E+02  3.3391E+02  1.2894E+02
0000080   9.2382E+02  3.2012E+02 -9.3503E+01
0000081   9.7684E+02 -3.3409E+01 -1.3520E+02
0000082   1.1396E+03 -3.9463E+01 -1.0636E+02
0000083   5.8321E+02 -2.5371E+02 -4.9505E+01
0000084   9.6943E+02  6.9093E+01  6.5142E+01
0000085   9.7049E+02 -8.9102E+01  1.9702E+02
0000086   6.6889E+02 -1.6801E+02  2.8036E+02
0000087   1.1713E+03 -6.0334E+00 -3.3387E+01
0000088   8.0633E+02 -2.1623E+02  2.2178E+02
0000089   9.2344E+02 -5.6417E+01 -9.3172E+01
0000090   8.9340E+02 -3.2511E+02 -2.3447E+02
0000091   9.9136E+02  1.3231E+02 -6.2028E+01
0000092   1.1260E+03 -1.5102E+02  2.6482E+01
0000093   1.0154E+03 -2.9056E+02 -1.6002E+01
0000094   1.1121E+03 -2.2493E+01 -1.8366E+02
0000095   1.0198E+03 -4.4271E+01  2.8923E+01
0000096   8.2760E+02 -3.9853E+02 -3.4624E+02
0000097   1.0488E+03 -2.0017E+02  1.9236E+02
0000098   1.1109E+03 -2.0628E+02  7.6339E+01
0000099   7.1667E+02 -2.2719E+02 -2.1888E+02
0000100   1.0140E+03  1.7069E+02  1.8627E+02
0000101   1.0099E+03 -1.3700E+02 -8.4839E+01
0000102   8.1735E+02  5.9813E+00  1.7430E+02
0000103   1.1280E+03 -3.3407E+02 -1.6560E+02
0000104   6.6215E+02 -1.9009E+02 -3.1965E+02
0000105   1.1116E+03  1.6173E+02 -3.6745E+02
0000106   9.0389E+02 -3.0484E+02 -1.4257E+02
