energy_bin,class_correct
1.0,12.0
2.0,16.363636363636363
3.0,44.44444444444444
4.0,45.45454545454545
5.0,51.11111111111111
6.0,50.90909090909091
7.0,55.55555555555556
8.0,50.90909090909091
9.0,68.88888888888889
10.0,60.0
11.0,71.11111111111111
12.0,76.36363636363637
13.0,75.55555555555556
14.0,65.45454545454545
15.0,75.55555555555556
16.0,76.36363636363637
17.0,73.33333333333333
18.0,85.45454545454545
19.0,73.33333333333333
20.0,65.45454545454545
21.0,77.77777777777779
22.0,81.81818181818183
23.0,84.44444444444444
24.0,67.27272727272727
25.0,73.33333333333333
26.0,90.9090909090909
27.0,75.55555555555556
28.0,81.81818181818183
29.0,82.22222222222221
30.0,83.63636363636363
31.0,82.22222222222221
32.0,78.18181818181819
33.0,88.88888888888889
34.0,85.45454545454545
35.0,91.11111111111111
36.0,83.63636363636363
37.0,80.0
38.0,87.27272727272727
39.0,86.66666666666667
40.0,81.81818181818183
41.0,84.44444444444444
42.0,89.0909090909091
43.0,82.22222222222221
44.0,87.27272727272727
45.0,80.0
46.0,90.9090909090909
47.0,86.66666666666667
48.0,81.81818181818183
49.0,86.66666666666667
50.0,92.72727272727272
51.0,91.11111111111111
52.0,90.9090909090909
53.0,91.11111111111111
54.0,85.45454545454545
55.0,86.66666666666667
56.0,89.0909090909091
57.0,100.0
58.0,87.27272727272727
59.0,86.66666666666667
60.0,94.54545454545455
61.0,91.11111111111111
62.0,94.54545454545455
63.0,88.88888888888889
64.0,90.9090909090909
65.0,93.33333333333333
66.0,96.36363636363636
67.0,84.44444444444444
68.0,94.54545454545455
69.0,95.55555555555556
70.0,94.54545454545455
71.0,97.77777777777777
72.0,92.72727272727272
73.0,93.33333333333333
74.0,96.36363636363636
75.0,95.55555555555556
76.0,90.9090909090909
77.0,93.33333333333333
78.0,90.9090909090909
79.0,95.55555555555556
80.0,96.36363636363636
81.0,97.77777777777777
82.0,94.54545454545455
83.0,97.77777777777777
84.0,94.54545454545455
85.0,88.88888888888889
86.0,92.72727272727272
87.0,97.77777777777777
88.0,96.36363636363636
89.0,95.55555555555556
90.0,90.9090909090909
91.0,97.77777777777777
92.0,94.54545454545455
93.0,93.33333333333333
94.0,98.18181818181819
95.0,88.88888888888889
96.0,96.36363636363636
97.0,97.77777777777777
98.0,98.18181818181819
99.0,95.55555555555556
100.0,98.18181818181819
101.0,100.0
