============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 3000000.E-06 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.8055E+01 -2.9810E+01 -2.6744E+01
0000002   3.5768E+01  1.6220E+00 -2.4813E+01
0000003   1.2345E+02  3.0473E+01 -1.4702E+01
0000004   2.7323E+01  3.4878E+00 -1.5731E+01
0000005   7.5874E+01 -2.0712E+01 -1.7067E+01
0000006   8.7617E+01 -2.2805E+01  2.5689E+01
0000007   5.6479E+01  1.5958E+00 -3.5822E+01
0000008   4.7324E+01 -1.8013E+01 -1.8266E+01
0000009   1.0938E+02 -5.3573E+01 -1.1649E+01
0000010   5.2784E+01 -2.2235E+01 -1.5621E+00
0000011   3.0378E+01  5.3433E+01 -2.6864E+00
0000012   7.0493E+01 -4.0878E+00  2.0867E+01
0000013   7.8624E+01 -6.2516E+00  3.3560E+01
0000014   6.1552E+01  3.3033E+01 -1.1731E+01
0000015   6.7075E+01 -6.6936E+00 -1.0973E+01
0000016   6.6713E+01  1.5006E+01 -2.5571E+00
0000017   7.9970E+01  1.9508E+01 -1.5887E+01
0000018   9.3125E+01  1.5286E+01 -2.0991E+01
0000019   5.2511E+01  1.8363E+01  3.1906E+01
0000020   7.5826E+01  9.5958E+00 -2.7441E+01
0000021   9.5489E+01  7.0879E+00  3.3823E+00
0000022   5.4207E+01  2.9023E+01  1.9210E+01
0000023   7.2110E+01  3.4883E+00  1.6472E+01
0000024   9.7114E+01 -3.4133E+00 -1.5152E+01
0000025   3.3048E+01 -6.1816E+00  9.1914E+00
0000026   5.9739E+01  1.9660E+01 -1.2485E+01
0000027   4.2856E+01  1.3334E+01 -2.0214E+01
0000028   6.1899E+01  2.2494E+01  1.0107E+01
0000029   7.1454E+01 -7.9575E+01  1.5592E+01
0000030   4.0722E+01  1.1111E+00 -3.6406E+00
0000031   5.1962E+01 -3.1470E+01  7.0551E+00
0000032   3.8573E+01  8.9429E+00  9.8930E+00
0000033   5.0138E+01 -6.1886E+00 -8.9835E+00
0000034   4.0836E+01 -1.4503E+01  6.2699E+01
0000035   7.0364E+01  2.0337E+01 -2.6641E+01
0000036   4.3127E+01 -1.6181E+01 -3.1386E+01
0000037   8.2018E+01 -4.5831E+00  3.7883E+01
0000038   1.1740E+02 -2.5543E+00  1.6333E+01
0000039   6.5049E+01 -2.4260E+00 -7.6757E-01
0000040   5.4382E+01 -4.0680E+00 -1.2734E+01
0000041   5.9847E+01 -6.2918E+00  1.3924E+01
0000042   4.6370E+01  3.0197E+01 -3.4295E+01
0000043   4.1678E+01  1.4540E+00 -4.0522E+00
0000044   2.5386E+01 -5.3018E+00  3.7522E+00
0000045   4.1732E+01  2.1346E+01  2.9353E+01
0000046   5.6254E+01 -3.1484E+01  2.4689E+01
0000047   5.1457E+01 -8.2019E+00  1.8689E+01
0000048   3.5888E+01 -3.4322E+00 -1.7776E+01
0000049   4.5441E+01  4.0720E+00 -4.4438E+01
0000050   6.2263E+01 -3.1108E+01  6.6175E-01
0000051   2.2048E+01  2.1674E+01  1.0399E+01
0000052   6.7085E+01  2.6896E+01  1.0384E+01
0000053   8.9396E+01  1.1999E+00 -1.7427E+01
0000054   6.5975E+01  3.7527E+01 -8.2483E+00
0000055   7.7663E+01  3.8183E+01 -7.7192E+00
0000056   6.4398E+01 -3.5595E+00  2.2484E+00
0000057   8.3567E+01  1.3627E+01  2.1830E+01
0000058   5.0545E+01  9.7601E+00  3.9737E-01
0000059   5.1750E+01 -1.3534E+01 -1.6088E+01
0000060   3.7558E+01 -4.5745E+00 -1.8737E+01
0000061   4.8783E+01 -2.3617E+01  3.5694E+00
0000062   1.3721E+01 -6.1223E-01  8.8585E+00
0000063   4.8886E+01  6.1462E+00 -1.1578E+01
0000064   7.1246E+01  2.0561E+01  3.8671E+01
0000065   7.8896E+01 -3.7612E+00 -3.1051E+01
0000066   8.8924E+01  2.1575E+01 -4.1965E+01
0000067   5.3698E+01  2.0702E+01 -5.6267E+01
0000068   5.2208E+01 -1.6017E+01  2.1370E-01
0000069   4.0520E+01  1.1101E+01  1.0289E+01
0000070   1.5858E+01  1.9266E+01 -5.7989E+00
0000071   1.2729E+02  1.6315E+01 -2.6315E+01
0000072   5.9159E+01 -7.9007E+00  2.0626E+01
0000073   8.0421E+01  2.5698E+00  1.8436E+01
0000074   1.5173E+01  2.6732E+01 -4.4055E+00
0000075   6.5793E+01 -2.0590E+01 -3.9342E+01
0000076   7.6594E+01  5.9669E+00 -2.2335E+01
0000077   4.2264E+01  2.5732E+00 -1.7413E+01
0000078   6.0917E+01 -2.5531E+01 -4.2807E+01
0000079   7.7061E+01 -3.9864E+00  1.4712E+01
0000080   5.1875E+01  4.0141E+01 -3.7155E+00
0000081   7.9466E+01  2.1539E+01 -1.2849E+01
0000082   2.7091E+01  4.8896E-01  6.0607E+00
0000083   2.5162E+01 -5.8070E+00 -2.7609E+01
0000084   3.9108E+01  3.8323E-01  1.3691E+00
0000085   6.4172E+01  1.7414E+01  6.5917E+00
0000086   5.6461E+01 -1.4721E+01  2.7631E+01
0000087   9.2121E+01  1.4093E+01  2.7914E+01
0000088   4.2845E+01 -1.2060E+01 -1.3574E-01
0000089   9.9871E+01  9.3875E+00 -4.6005E-01
0000090   3.2188E+01 -2.0153E+01 -6.4219E-01
0000091   3.9173E+01 -3.5817E+01 -4.2931E+01
0000092   8.8358E+01 -1.1517E+01 -2.1572E+01
0000093   4.1372E+01 -1.5375E+01 -2.7255E+01
0000094   5.6165E+01 -3.9771E+00  3.4753E+01
0000095   3.1385E+01 -1.8496E+01 -2.5146E+01
0000096   5.8777E+01  1.0269E+01 -2.1743E+01
0000097   5.5781E+01 -2.7735E+01  1.8899E+01
0000098   6.6607E+01 -3.3778E+01  2.7138E+01
0000099   1.0156E+02 -1.5643E+00  8.8698E+00
0000100   3.0321E+01 -1.6952E+01 -4.0026E+00
0000101   4.0056E+01 -4.0667E+01 -1.1361E+01
0000102   6.4018E+01  9.4398E+00 -6.0070E+00
0000103   5.0356E+01  3.6078E+01  6.8294E+00
0000104   2.6268E+01 -1.1277E+00 -8.0904E+00
0000106   3.3554E+01  1.0280E+01  2.6808E+01
0000107   5.0096E+01 -1.3764E+01  4.7165E+01
