============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 5000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.8745E+02  4.0488E+02  1.2725E+01
0000002   7.0636E+02  5.1142E+01 -2.7073E+02
0000003   5.8860E+02  5.6920E+02  1.6392E+02
0000004   7.0166E+02  1.9551E+02 -9.6336E+01
0000005   8.3886E+02  2.4514E+01 -1.7560E+02
0000006   5.6086E+02 -3.0805E+02  7.2285E+01
0000007   7.7744E+02 -5.9355E+01 -1.5007E+02
0000008   9.7032E+02 -9.6549E+00 -9.4910E+01
0000009   9.7333E+02  3.1990E+02  4.2828E+02
0000010   9.7991E+02 -2.1895E+02 -1.4975E+02
0000011   7.6256E+02  1.0007E+02 -3.4827E+02
0000012   6.1314E+02  1.9699E+02  3.7884E+02
0000013   5.4399E+02  7.4600E+01  5.8770E+00
0000014   6.6920E+02  2.2197E+02 -7.6438E+01
0000015   9.9266E+02 -1.0010E+02  3.1611E+02
0000016   7.9471E+02  1.1830E+02 -7.8636E+00
0000017   2.9950E+02  1.8474E+02  3.7530E+02
0000018   8.6355E+02 -4.1435E+01  2.5736E+02
0000019   8.2137E+02  6.9476E+01  2.2263E+02
0000020   9.1389E+02 -1.5200E+02  1.4384E+02
0000021   8.5563E+02 -2.2824E+02  3.1286E+02
0000022   8.3152E+02 -1.4456E+02  1.1695E+02
0000023   4.5204E+02  1.7482E+02  2.8097E+02
0000024   5.8538E+02 -2.2795E+02 -1.1533E+02
0000025   5.6612E+02 -7.4261E+01 -1.2769E+02
0000026   8.1445E+02  8.0145E+01 -2.0904E+02
0000027   6.8668E+02 -1.9309E+02 -2.3241E+02
0000028   8.9065E+02 -1.8074E+01  1.9188E+01
0000029   7.8731E+02  2.9653E+01 -1.0140E+02
0000030   7.1249E+02  1.9671E+02 -1.4522E+02
0000031   8.9378E+02 -1.3140E+02 -1.1835E+02
0000032   9.5158E+02 -1.1151E+02  2.9819E+01
0000033   7.4230E+02  4.7425E+01 -2.7667E+02
0000034   5.5065E+02 -1.0750E+02 -1.9164E+01
0000035   6.9605E+02 -9.6109E+01  1.7346E+02
0000036   7.3945E+02  2.4801E+02 -1.8298E+02
0000037   5.9011E+02  2.0693E+01  1.7619E+02
0000038   6.3960E+02  1.5245E+02  2.4557E+02
0000039   8.2685E+02 -2.7517E+02 -4.7890E+01
0000040   8.8065E+02  7.4526E+01 -6.2706E+01
0000041   7.1590E+02 -4.0485E+01 -1.9251E+02
0000042   6.5413E+02 -2.5031E+02 -2.6281E+02
0000043   8.3383E+02 -3.7751E+02 -3.0061E+02
0000044   7.4067E+02  1.3542E+02 -9.3977E+01
0000045   2.6339E+02  1.9293E+02 -2.7741E+02
0000046   6.3083E+02 -3.3176E+02  2.3678E+02
0000047   8.2081E+02 -9.4256E+01 -2.0324E+02
0000048   8.2143E+02 -1.5992E+02  1.5747E+02
0000049   8.3915E+02 -7.0871E+01  1.6389E+02
0000050   6.7664E+02 -8.1541E+01  2.8360E+01
0000051   7.3638E+02  2.2465E+02 -1.8549E+02
0000052   1.0125E+03  1.0225E+02  8.3631E+01
0000053   8.5734E+02  7.7661E+01 -2.8177E+02
0000054   7.4911E+02  1.7415E-01  9.8753E+00
0000055   7.2035E+02  2.6862E+02 -1.4533E+02
0000056   4.3823E+02 -3.5522E+02  2.6317E+02
0000057   7.0767E+02  1.0305E+02  2.8949E+01
0000058   8.3927E+02 -1.2324E+02  7.8931E+01
0000059   6.2304E+02 -1.8420E+02  3.5527E+00
0000060   6.8839E+02 -1.2996E+02 -2.2411E+02
0000061   7.4482E+02  8.0252E+00 -2.2334E+02
0000062   5.7595E+02  2.8880E+01 -2.3389E+01
0000063   4.8178E+02 -7.3471E+01  1.4967E+02
0000064   8.0505E+02 -1.7393E+02  2.8433E+02
0000065   9.1879E+02  2.0379E+02 -1.7563E+02
0000066   1.0409E+03  1.0568E+02  1.7592E+02
0000067   9.3339E+02 -2.6430E+02  9.8541E+01
0000068   6.7793E+02  1.4121E+02  9.3240E-01
0000069   7.5578E+02 -6.0212E+01 -3.8792E+01
0000070   8.2068E+02  1.0063E+02  1.6449E+02
0000071   8.3249E+02  2.6219E+00 -1.0078E+02
0000072   6.7761E+02 -1.4356E+02  1.6508E+01
0000073   5.4544E+02 -1.9408E+02  3.4505E+01
0000074   9.1751E+02  1.5330E+01 -8.1869E+01
0000075   5.9499E+02 -6.0472E+01  3.7944E+02
0000076   1.0750E+03 -1.6528E+01 -2.2265E+01
0000077   5.6125E+02  9.6134E+00  2.9336E+02
0000078   7.4824E+02 -1.8501E+02 -1.9340E+02
0000079   4.6414E+02 -2.1273E+02  5.7957E+01
0000080   7.7917E+02  5.3222E+01  1.4018E+02
0000081   7.3043E+02  2.9740E+02 -2.5595E+02
0000082   8.9517E+02 -2.5491E+02 -9.8818E+01
0000083   8.0805E+02 -2.9445E+02  1.1958E+02
0000084   7.6442E+02 -1.9967E+00 -1.4925E+01
0000085   8.2383E+02  2.5469E+01  3.9675E+01
0000086   8.3705E+02  3.4442E+02  1.5936E+02
0000087   7.7832E+02  5.2874E+01 -3.0252E+02
0000088   6.8490E+02  6.8507E+01 -2.2466E+02
0000089   7.6283E+02 -9.6634E+01  1.7294E+02
0000090   7.2790E+02  2.8119E+02 -1.4792E+02
0000091   8.4460E+02 -7.8320E+01  1.9085E-01
0000092   5.9299E+02  2.8675E+01  1.0874E+02
0000093   5.6910E+02  8.9353E+01 -1.2354E+01
0000094   7.6607E+02 -6.2534E+01 -1.8760E+02
0000095   8.8575E+02  1.4799E+02 -1.1095E+02
0000096   5.0260E+02 -1.5131E+02 -1.8654E+02
0000097   1.0225E+03  1.2548E+01  6.4819E+01
0000098   3.9959E+02  3.0888E+01 -1.7226E+02
0000099   8.5954E+02 -1.2521E+01  1.6048E+02
0000100   6.6276E+02  2.5936E+02  2.2664E+02
0000101   4.1744E+02  3.0094E+02  1.9302E+02
0000102   8.4956E+02  2.1558E+02 -1.3537E+02
0000103   5.6836E+02 -7.0180E+01  7.3416E+01
0000104   8.6675E+02  1.6806E+02 -5.4133E+01
0000105   7.9520E+02  7.2011E+01 -2.6051E+02
0000106   3.7335E+02  7.6294E+01 -3.6070E+01
0000107   7.6943E+02  8.9680E+01 -2.8386E+02
