============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 1000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.1653E+02  1.1905E+01  1.4847E+02
0000002   1.3630E+02 -1.2606E+02 -4.8436E+01
0000003   2.2921E+02  7.3943E+00  2.6404E+01
0000004   1.6351E+02 -2.6602E+01 -8.6986E+01
0000005   7.5108E+01  3.2439E+01 -7.1182E+01
0000006   1.6850E+02  4.2610E+01  9.4978E+00
0000007   1.9244E+02 -9.2060E+01  5.6794E+01
0000008   1.8926E+02 -9.6141E+01 -5.3770E+01
0000009   2.2191E+02 -3.8353E+01 -3.0854E+01
0000010   1.6373E+02 -1.1781E+01  3.2079E+01
0000011   4.4071E+01 -7.4906E+01  2.3787E+01
0000012   2.5033E+02 -1.7001E+01  2.8411E+01
0000013   2.5027E+02 -3.4912E+01  2.5826E+00
0000014   2.4443E+02  4.2999E+01 -3.0026E+01
0000015   8.8675E+01  4.6604E+01  3.0695E+01
0000016   1.3133E+02  1.4681E+01  6.4911E+00
0000017   5.0903E+01 -9.5239E+01  2.1100E+01
0000018   1.1555E+02 -3.5411E+01 -5.5768E+01
0000019   2.7069E+02 -2.6809E+01 -1.3107E+01
0000020   1.4114E+02 -4.1061E+01  1.1392E+02
0000021   2.1866E+02 -4.6050E+01 -6.2059E+01
0000022   2.3578E+02 -7.1913E+01  1.5271E+01
0000023   1.3509E+02 -1.9975E+01 -6.3918E+01
0000024   2.5505E+02  2.6386E+01  3.5806E+01
0000025   3.9124E+01 -2.3027E+01 -7.5731E+00
0000026   1.5779E+02  3.9869E+01  3.2348E+01
0000027   1.9073E+02 -3.0289E+01 -3.1317E+01
0000028   2.1507E+02  6.5662E+01  9.0382E+01
0000029   6.7393E+01 -4.1645E+01  4.7099E+01
0000030   2.4492E+02  3.3085E+01  4.4879E+01
0000031   1.6936E+02  1.5462E+01 -8.0810E+01
0000032   2.6423E+02 -5.4786E+00  1.2799E+00
0000033   1.0835E+02 -1.6992E+01 -4.3373E+01
0000034   4.4644E+01 -1.4540E+01  7.1764E+01
0000035   1.7810E+02  5.3766E+01  1.9313E+01
0000036   1.6250E+02  5.5967E+01  7.2571E+01
0000037   1.5939E+02 -9.0776E+01 -1.1100E+02
0000038   1.1367E+02  5.7605E+01  1.6261E+01
0000039   2.1178E+02  2.6353E+01  3.2823E+01
0000040   1.1173E+02 -2.1381E+01 -8.5082E+01
0000041   1.8797E+02 -1.5194E+01 -6.1582E+01
0000042   8.2288E+01  1.8134E+01 -5.4583E+01
0000043   2.0674E+02 -1.4594E+01 -4.6925E+01
0000044   1.8088E+02  4.0363E+01 -8.1635E+01
0000045   1.7476E+02 -9.3298E+00 -1.1060E+01
0000046   1.4629E+02  2.0529E+01 -1.3310E+01
0000047   1.8209E+02 -8.6769E+01 -3.4516E+01
0000048   1.2901E+02  1.9536E+01  1.0256E+02
0000049   5.7704E+01 -9.2345E+01 -1.1110E+01
0000050   1.7152E+02  6.0164E+01 -6.5148E+01
0000051   7.8932E+01 -2.4431E+00 -1.0432E+01
0000052   1.5952E+02  7.9512E+00 -9.9946E+01
0000053   1.4379E+02  1.8365E+00  6.2522E+01
0000054   2.2142E+02 -3.5494E+01  4.8165E+01
0000055   1.9833E+02  1.0594E+02 -2.4174E+01
0000056   1.7766E+02  9.6643E+01  3.6019E+01
0000057   1.9446E+02 -1.6796E+01 -4.5575E+00
0000058   1.3035E+02  8.7246E+01 -1.2972E+01
0000059   1.5256E+02 -6.9339E+01 -1.5517E+01
0000060   1.8227E+02 -6.3293E+01  8.0072E+00
0000061   1.0070E+02  9.2583E+01  1.6335E+01
0000062   2.0145E+02  3.2995E+01 -2.4182E+01
0000063   2.1334E+02  4.4217E+01  7.3325E+01
0000064   1.2926E+02  9.1094E+01 -4.9441E+01
0000065   1.4772E+02 -3.7230E+01 -1.2036E+02
0000066   5.8316E+01 -2.5355E+01  8.7156E+00
0000067   2.3432E+02 -6.2970E+01  9.2042E+01
0000068   1.4903E+02 -2.9178E+01  3.6186E+01
0000069   1.9437E+02  9.2575E+01  8.6882E+01
0000070   7.5769E+01  5.4960E+00  5.9041E+01
0000071   2.0149E+02  6.1743E+01  1.2518E+02
0000072   2.1196E+02  4.3115E+01  3.0906E+01
0000073   1.9051E+02 -5.6158E+00  1.1507E+00
0000074   3.0200E+02 -8.2030E+01  6.3119E+01
0000075   1.7075E+02  9.8254E+01  3.1596E+01
0000076   2.4570E+02 -5.0907E+01  9.8102E+01
0000077   1.4843E+02  3.0606E+01 -1.6965E+01
0000078   1.7796E+02  2.7959E+01  7.2113E+01
0000079   1.3990E+02 -3.3156E+01  2.7224E+01
0000080   1.6939E+02  6.3823E+01 -6.4291E+01
0000081   1.1528E+02 -4.6161E+01  5.0711E+01
0000082   1.9543E+02  1.1936E+01  4.1929E+01
0000083   1.5935E+02 -1.0130E+02  4.3814E+01
0000084   1.7149E+02 -1.4330E+02  7.6268E+00
0000085   1.4780E+02  1.6606E+02 -9.0925E+01
0000086   1.8264E+02 -1.8815E+01  8.0383E+01
0000087   2.1541E+02  6.1135E+01 -1.2628E+02
0000088   3.3467E+02  8.1635E+00 -2.5730E+01
0000089   1.5403E+02 -8.6049E+01 -2.8181E+01
0000090   1.0504E+02  4.0214E+01 -5.5872E+01
0000091   1.4902E+02  1.0691E+02  4.0318E+01
0000092   8.0127E+01 -3.1069E+01 -7.2949E+01
0000093   2.3923E+02  1.0752E+02  2.9255E+01
0000094   1.7614E+02  1.0601E+02 -1.4578E+01
0000095   1.7553E+02 -6.3717E+00 -1.0986E+02
0000096   2.5848E+00  5.3959E+01  9.6239E+01
0000097   3.2188E+02  8.4728E+00  1.3007E+01
0000098   1.4578E+02  3.5935E+01  4.4374E+01
0000099   1.8115E+02 -5.2185E+01  1.2943E+02
0000100   2.3553E+02  2.2123E+01  1.0585E+01
0000101   1.1105E+02 -1.3504E+01 -3.2982E+01
0000102   2.1300E+02  6.8678E+01  1.2500E+01
0000103   6.2205E+01  1.2436E+02  1.2697E+01
0000104   1.6948E+02 -3.0499E+01  1.0858E+02
0000105   1.6320E+02 -4.4581E+01  5.4205E+01
0000106   1.6430E+02 -8.0679E+01 -5.2342E+01
0000107   1.0737E+02 -5.6335E+00  9.2047E+01
