============================== SRIM-2013.00 ==============================
==============================================================================
------------------------------------------------------------------------------
====== TRIM Calc.=  C(29.2 keV) ==> None(  2 um) =============================
------------------------------------------------------------------------------
============================================================
º     Ion Name   =      C                                  º
º     Ion Mass   =    012.011 amu                          º
º     Ion Energy =000000029.2 keV                          º
============================================================
>      C  Displacement Energy of  C = 0028.00000 eV
  Latt.Binding Energy of  C = 0003.00000 eV
  SurfaceBind. Energy of  C = 0007.41000 eV
============================================================
 
==========================  COLLISION HISTORY  =======================================================
  NOTES: Only Ion Collisions which produce Displacements are tabulated.                               
         Atom Sums and Averages are Incomplete if Recoil Cascades Leave Target.                       
         Target DISPlacements = VACancies + REPLACement Collisions.                                   
         Target VACancies = INTERstitials + Sputtered + Transmitted Atoms.                            
                            Recoil Atoms which end at the surface, are not counted (see manual).      
======================================================================================================
  Ion    Energy    Depth     Lateral Distance (A)   Se    Atom  Recoil    Target Target Target Target 
  Numb   (keV)      (A)       Y Axis    Z Axis    (eV/A)  Hit  Energy(eV) DISP.  VAC.   REPLAC INTER  
------------------------------------------------------------------------------------------------------
³00001³26.41E+00³82676.E-03³-1951.E-03³ 2008.E-03³0044.33³  C ³44042.E-02³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00038   06  55589.E-03 3091.E-01 -2209.E-01  2775.E-01  1   00 Û
Û 00039   06  10710.E-02 3060.E-01 -2243.E-01  2801.E-01  1   00 Û
Û 00040   06  56067.E-03 3077.E-01 -2243.E-01  2832.E-01  1   00 Û
Û 00041   06  40726.E-03 3086.E-01 -2254.E-01  2843.E-01  1   00 Û
Û 00042   06  95517.E-03 3045.E-01 -2252.E-01  2801.E-01  1   00 Û
Û 00043   06  63151.E-03 3052.E-01 -2218.E-01  2805.E-01  1   00 Û
Û 00044   06  33212.E-03 3036.E-01 -2267.E-01  2797.E-01  1   00 Û
Û 00045   06  81987.E-03 3020.E-01 -2294.E-01  2779.E-01  1   00 Û
Û 00046   06  36515.E-02 3018.E-01 -2310.E-01  2771.E-01  1   00 Û
Û 00047   06  23999.E-02 3062.E-01 -2383.E-01  2834.E-01  1   00 Û
Û 00048   06  33862.E-03 3100.E-01 -2381.E-01  2755.E-01  1   00 Û
Û 00049   06  74899.E-03 2956.E-01 -2366.E-01  2705.E-01  1   00 Û
Û 00050   06  42621.E-03 2968.E-01 -2397.E-01  2698.E-01  1   00 Û
Û 00051   06  30660.E-03 2930.E-01 -2382.E-01  2687.E-01  1   00 Û
Û 00052   06  60725.E-03 2768.E-01 -2447.E-01  2485.E-01  1   00 Û
Û 00053   06  15960.E-02 2758.E-01 -2455.E-01  2472.E-01  1   00 Û
Û 00054   06  33906.E-03 2762.E-01 -2456.E-01  2522.E-01  1   00 Û
Û 00055   06  70228.E-03 2759.E-01 -2448.E-01  2507.E-01  1   00 Û
Û 00056   06  11397.E-02 2749.E-01 -2458.E-01  2457.E-01  1   00 Û
Û 00057   06  29707.E-03 2724.E-01 -2445.E-01  2419.E-01  1   00 Û
Û 00058   06  59765.E-03 2751.E-01 -2455.E-01  2440.E-01  1   00 Û
Û 00059   06  43106.E-03 2753.E-01 -2472.E-01  2436.E-01  1   00 Û
Û 00060   06  38553.E-03 2631.E-01 -2437.E-01  2390.E-01  1   00 Û
Û 00061   06  34112.E-03 2570.E-01 -2420.E-01  2355.E-01  1   00 Û
Û 00062   06  00000.E+00 2571.E-01 -2407.E-01  2367.E-01  0   01 Û
Û 00063   06  28043.E-03 2571.E-01 -2407.E-01  2367.E-01  1   00 Û
Û 00064   06  46030.E-03 2230.E-01 -2285.E-01  2134.E-01  1   00 Û
Û 00065   06  11818.E-02 2036.E-01 -2209.E-01  1966.E-01  1   00 Û
Û 00066   06  56756.E-03 2043.E-01 -2201.E-01  2000.E-01  1   00 Û
Û 00067   06  12433.E-02 1911.E-01 -2143.E-01  1857.E-01  1   00 Û
Û 00068   06  29954.E-03 1913.E-01 -2128.E-01  1868.E-01  1   00 Û
Û 00069   06  30705.E-02 1900.E-01 -2134.E-01  1846.E-01  1   00 Û
Û 00070   06  14212.E-02 1916.E-01 -2026.E-01  1900.E-01  1   00 Û
Û 00071   06  65567.E-03 1915.E-01 -2056.E-01  1881.E-01  1   00 Û
Û 00072   06  50889.E-03 1921.E-01 -2058.E-01  1885.E-01  1   00 Û
Û 00073   06  45737.E-02 1752.E-01 -1961.E-01  1646.E-01  1   00 Û
Û 00074   06  90579.E-03 1754.E-01 -1915.E-01  1630.E-01  1   00 Û
Û 00075   06  69968.E-03 1746.E-01 -1916.E-01  1614.E-01  1   00 Û
Û 00076   06  29710.E-03 1721.E-01 -1925.E-01  1635.E-01  1   00 Û
Û 00077   06  25035.E-02 1760.E-01 -1927.E-01  1642.E-01  1   00 Û
Û 00078   06  52774.E-03 1835.E-01 -1945.E-01  1729.E-01  1   00 Û
Û 00079   06  44502.E-03 1815.E-01 -1957.E-01  1702.E-01  1   00 Û
Û 00080   06  35443.E-03 1768.E-01 -1938.E-01  1653.E-01  1   00 Û
Û 00081   06  56876.E-03 1753.E-01 -1943.E-01  1645.E-01  1   00 Û
Û 00082   06  15821.E-02 1654.E-01 -1736.E-01  1363.E-01  1   00 Û
Û 00083   06  10020.E-02 1667.E-01 -1698.E-01  1420.E-01  1   00 Û
Û 00084   06  31138.E-03 1695.E-01 -1654.E-01  1419.E-01  1   00 Û
Û 00085   06  54836.E-03 1646.E-01 -1712.E-01  1338.E-01  1   00 Û
Û 00086   06  32985.E-03 1646.E-01 -1715.E-01  1356.E-01  1   00 Û
Û 00087   06  27279.E-02 1638.E-01 -1686.E-01  1315.E-01  1   00 Û
Û 00088   06  62311.E-03 1618.E-01 -1693.E-01  1360.E-01  1   00 Û
Û 00089   06  31632.E-03 1608.E-01 -1689.E-01  1374.E-01  1   00 Û
Û 00090   06  52948.E-03 1632.E-01 -1692.E-01  1349.E-01  1   00 Û
Û 00091   06  58187.E-03 1638.E-01 -1691.E-01  1332.E-01  1   00 Û
Û 00092   06  00000.E+00 1633.E-01 -1722.E-01  1348.E-01  0   01 Û
Û 00093   06  48009.E-03 1633.E-01 -1722.E-01  1348.E-01  1   00 Û
Û 00094   06  00000.E+00 1616.E-01 -1715.E-01  1348.E-01  0   01 Û
Û 00095   06  43668.E-03 1616.E-01 -1715.E-01  1348.E-01  1   00 Û
Û 00096   06  32238.E-03 1599.E-01 -1719.E-01  1347.E-01  1   00 Û
Û 00097   06  29232.E-03 1566.E-01 -1482.E-01  1189.E-01  1   00 Û
Û 00098   06  16979.E-02 1497.E-01 -1310.E-01  1082.E-01  1   00 Û
Û 00099   06  54985.E-03 1480.E-01 -1244.E-01  1084.E-01  1   00 Û
Û 00100   06  00000.E+00 1470.E-01 -1229.E-01  1085.E-01  0   01 Û
Û 00101   06  49630.E-03 1470.E-01 -1229.E-01  1085.E-01  1   00 Û
Û 00102   06  33028.E-03 1491.E-01 -1257.E-01  1081.E-01  1   00 Û
Û 00103   06  12950.E-02 1482.E-01 -1251.E-01  1045.E-01  1   00 Û
Û 00104   06  53270.E-03 1489.E-01 -1246.E-01  9942.E-02  1   00 Û
Û 00105   06  10792.E-02 1385.E-01 -9148.E-02  7683.E-02  1   00 Û
Û 00106   06  55552.E-03 1386.E-01 -8923.E-02  7952.E-02  1   00 Û
Û 00107   06  42135.E-03 1387.E-01 -9101.E-02  7963.E-02  1   00 Û
Û 00108   06  11926.E-02 1366.E-01 -8307.E-02  7048.E-02  1   00 Û
Û 00109   06  42793.E-03 1366.E-01 -8484.E-02  7026.E-02  1   00 Û
Û 00110   06  49130.E-03 1299.E-01 -6720.E-02  5775.E-02  1   00 Û
Û 00111   06  23386.E-02 1269.E-01 -5912.E-02  5144.E-02  1   00 Û
Û 00112   06  12578.E-02 1279.E-01 -5168.E-02  4702.E-02  1   00 Û
Û 00113   06  71735.E-03 1272.E-01 -5330.E-02  5003.E-02  1   00 Û
Û 00114   06  46889.E-03 1262.E-01 -5303.E-02  5152.E-02  1   00 Û
Û 00115   06  36436.E-03 1281.E-01 -5463.E-02  4896.E-02  1   00 Û
Û 00116   06  61720.E-03 1262.E-01 -5647.E-02  4915.E-02  1   00 Û
Û 00117   06  17673.E-02 1209.E-01 -3494.E-02  3117.E-02  1   00 Û
Û 00118   06  33424.E-03 1193.E-01 -4587.E-02  2601.E-02  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³20808.E+00³000112³000106³000006³000112³
³00001³35.47E-01³12334.E-02³-1523.E-02³ 2439.E-02³0016.50³  C ³29156.E-01³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  29156.E-01 1233.E-01 -1523.E-02  2439.E-02  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  84743.E-05 1561.E-01 -1286.E-02 -9274.E-03  0   01 Û
Û 00003   06  42821.E-03 1561.E-01 -1286.E-02 -9274.E-03  1   00 Û
Û 00004   06  15264.E-02 1520.E-01 -1176.E-02 -2351.E-03  1   00 Û
Û 00005   06  44142.E-03 1550.E-01 -1647.E-02  3666.E-03  1   00 Û
Û 00006   06  41866.E-03 1553.E-01 -1418.E-02  1045.E-03  1   00 Û
Û 00007   06  30281.E-03 1495.E-01 -1375.E-02 -7189.E-04  1   00 Û
Û 00008   06  68142.E-03 1480.E-01 -1446.E-02 -1039.E-04  1   00 Û
Û 00009   06  64085.E-03 1485.E-01 -1319.E-02 -1249.E-03  1   00 Û
Û 00010   06  20431.E-02 1429.E-01 -1776.E-02  6276.E-03  1   00 Û
Û 00011   06  77546.E-02 1398.E-01 -1872.E-02  7770.E-03  1   00 Û
Û 00012   06  54737.E-03 1388.E-01 -1379.E-02 -3258.E-03  1   00 Û
Û 00013   06  33126.E-03 1396.E-01 -1353.E-02 -1715.E-03  1   00 Û
Û 00014   06  36500.E-03 1399.E-01 -1382.E-02  3597.E-03  1   00 Û
Û 00015   06  34546.E-02 1407.E-01 -1426.E-02  5125.E-03  1   00 Û
Û 00016   06  71616.E-03 1349.E-01 -2339.E-02  9891.E-03  1   00 Û
Û 00017   06  57016.E-03 1397.E-01 -2195.E-02  8454.E-03  1   00 Û
Û 00018   06  38363.E-03 1392.E-01 -2359.E-02  8929.E-03  1   00 Û
Û 00019   06  40682.E-03 1409.E-01 -1876.E-02  7516.E-03  1   00 Û
Û 00020   06  52560.E-03 1408.E-01 -1699.E-02  7354.E-03  1   00 Û
Û 00021   06  34866.E-03 1408.E-01 -1544.E-02  6454.E-03  1   00 Û
Û 00022   06  12108.E-02 1405.E-01 -1732.E-02  6938.E-03  1   00 Û
Û 00023   06  00000.E+00 1465.E-01 -2346.E-02  7120.E-03  0   01 Û
Û 00024   06  29114.E-03 1465.E-01 -2346.E-02  7120.E-03  1   00 Û
Û 00025   06  34585.E-03 1408.E-01 -2074.E-02  6065.E-03  1   00 Û
Û 00026   06  28676.E-03 1408.E-01 -1898.E-02  6349.E-03  1   00 Û
Û 00027   06  25987.E-02 1361.E-01 -1743.E-02  1373.E-02  1   00 Û
Û 00028   06  29894.E-03 1396.E-01 -1871.E-02  2154.E-02  1   00 Û
Û 00029   06  46164.E-03 1381.E-01 -1909.E-02  1834.E-02  1   00 Û
Û 00030   06  33015.E-03 1325.E-01 -1828.E-02  1759.E-02  1   00 Û
Û 00031   06  34782.E-03 1312.E-01 -1848.E-02  1875.E-02  1   00 Û
Û 00032   06  45276.E-03 1288.E-01 -1841.E-02  2139.E-02  1   00 Û
Û 00033   06  69810.E-02 1275.E-01 -1811.E-02  2260.E-02  1   00 Û
Û 00034   06  54567.E-02 1300.E-01 -1725.E-02  1798.E-02  1   00 Û
Û 00035   06  48733.E-03 1404.E-01 -1950.E-02  2095.E-02  1   00 Û
Û 00036   06  00000.E+00 1417.E-01 -2072.E-02  2082.E-02  0   01 Û
Û 00037   06  43637.E-03 1417.E-01 -2072.E-02  2082.E-02  1   00 Û
Û 00038   06  13597.E-02 1364.E-01 -1651.E-02  1933.E-02  1   00 Û
Û 00039   06  56452.E-03 1412.E-01 -1988.E-02  2329.E-02  1   00 Û
Û 00040   06  29264.E-03 1426.E-01 -2070.E-02  2404.E-02  1   00 Û
Û 00041   06  24086.E-02 1329.E-01 -1622.E-02  1973.E-02  1   00 Û
Û 00042   06  76984.E-03 1420.E-01 -1064.E-02  1489.E-02  1   00 Û
Û 00043   06  37160.E-03 1291.E-01 -1777.E-02  1945.E-02  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³29156.E-01³000040³000037³000003³000040³
³00001³53.68E-02³12854.E-02³-1551.E-02³ 2328.E-02³0006.42³  C ³38745.E-03³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  38745.E-03 1285.E-01 -1551.E-02  2328.E-02  1   00 Û<ÄPrime RecoilÛ
==================================================================
³                                Summary of Above Cascade ==> ³38745.E-03³000001³000001³000000³000001³
³00001³49.80E-02³13026.E-02³-1583.E-02³ 2296.E-02³0006.18³  C ³46648.E-03³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  46648.E-03 1303.E-01 -1583.E-02  2296.E-02  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  28500.E-03 1305.E-01 -1647.E-02  2132.E-02  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³46648.E-03³000002³000002³000000³000002³
³00001³39.57E-02³13709.E-02³-1503.E-02³ 2108.E-02³0005.51³  C ³20676.E-02³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  20676.E-02 1371.E-01 -1503.E-02  2108.E-02  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  10190.E-02 1415.E-01 -1372.E-02  1594.E-02  1   00 Û
Û 00003   06  54935.E-03 1437.E-01 -1114.E-02  1563.E-02  1   00 Û
Û 00004   06  34826.E-03 1427.E-01 -1262.E-02  1528.E-02  1   00 Û
Û 00005   06  39297.E-03 1410.E-01 -1417.E-02  1760.E-02  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³20676.E-02³000005³000005³000000³000005³
