============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 7000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.1508E+03  4.2381E+01 -1.4007E+02
0000002   1.2342E+03  8.6564E+01 -1.5421E+02
0000003   7.1376E+02 -4.5129E+02  1.9543E+02
0000004   1.0543E+03  8.7715E+01 -7.3117E+01
0000005   1.2105E+03 -1.2870E+02  2.1486E+02
0000006   1.1938E+03  1.7793E+02 -7.0613E+01
0000007   7.7384E+02  8.3120E+01  8.8249E+01
0000008   1.1251E+03  9.2349E+01 -5.3517E+01
0000009   9.7188E+02  1.4603E+02 -9.6738E+01
0000010   9.6049E+02  1.5488E+02 -2.9417E+02
0000011   1.0460E+03 -3.8229E+02 -5.1651E+01
0000012   8.8522E+02  1.0979E+02 -1.4559E+02
0000013   1.0111E+03  1.3335E+02  4.2068E+01
0000014   9.8040E+02 -6.8815E+01  2.3153E+02
0000015   9.9077E+02  6.8602E+01  1.1355E+02
0000016   1.0681E+03  1.3681E+02 -2.5822E+02
0000017   1.2362E+03  1.1158E+02  1.1073E+02
0000018   8.2820E+02  3.5098E+02  3.5036E+02
0000019   1.0898E+03  1.3510E+02  8.6983E+01
0000020   1.1793E+03  1.7358E+02 -1.2634E+02
0000021   1.0037E+03 -1.3398E+02 -2.2204E+01
0000022   1.2800E+03 -1.6792E+02  2.4086E+01
0000023   7.5103E+02  1.1191E+02 -4.0373E+02
0000024   4.7799E+02  5.6026E+01  9.2993E+01
0000025   1.1024E+03 -1.2513E+02  2.2128E+02
0000026   9.7671E+02  8.5357E+01 -1.2114E+02
0000027   1.0258E+03 -7.5544E+01 -3.6804E+02
0000028   8.0641E+02  2.2148E+02  2.0646E+02
0000029   1.1121E+03 -1.2479E+02 -4.4261E+02
0000030   1.0311E+03 -8.6835E+01 -8.4079E+00
0000031   1.0019E+03 -1.2151E+02  6.3830E+01
0000032   9.6522E+02  9.7156E+01  3.0870E+02
0000033   1.3290E+03 -1.1003E+02  1.5382E+02
0000034   1.0821E+03  2.9778E+02  1.4518E+02
0000035   1.0238E+03  1.3972E+02  6.0483E+00
0000036   1.1341E+03  2.6648E+01 -1.7114E+02
0000037   1.1200E+03 -1.0851E+02  9.4183E+01
0000038   1.2573E+03 -2.5687E+01  4.3755E+01
0000039   9.2742E+02  1.4358E+02  1.3041E+02
0000040   5.2422E+02  3.1461E+02  3.6550E+02
0000041   1.1224E+03  2.0084E+02  5.9405E+01
0000042   9.1594E+02  1.3588E+01  7.6586E+01
0000043   1.1513E+03 -1.4762E+01 -1.7665E+02
0000044   1.1351E+03 -1.0091E+02 -1.5352E+02
0000045   1.2321E+03  4.2273E+01 -1.4937E+02
0000046   1.0737E+03  2.1173E+02  9.5745E+01
0000047   1.1380E+03 -1.6591E+02 -5.9712E+01
0000048   8.2765E+02 -2.5331E+01  4.7812E+01
0000049   1.2498E+03 -1.2201E+02 -1.6224E+02
0000050   9.3647E+02 -9.3457E+01  2.3692E+02
0000051   1.2857E+03 -8.3503E+01  2.8168E+02
0000052   1.0949E+03 -2.2677E+02 -1.6453E+02
0000053   1.0577E+03  1.5070E+02  8.8050E+01
0000054   1.0723E+03 -8.5873E+00  1.5747E+02
0000055   2.1439E+02 -3.0265E+02  1.1114E+02
0000056   8.1445E+02  1.9885E+02 -4.3557E+01
0000057   1.1408E+03 -2.3312E+02  1.2755E+02
0000058   5.0062E+02  9.1655E+01 -2.6785E+02
0000059   1.1304E+03 -1.9973E+02 -1.2422E+02
0000060   7.1697E+02  7.7569E+01 -2.6306E+02
0000061   6.5137E+02 -7.8949E+01  7.4793E+02
0000062   1.1661E+03  2.6829E+02 -1.1664E+02
0000063   9.7194E+02  4.5096E+02  1.2948E+01
0000064   8.5408E+02  2.5113E+02 -2.4829E+01
0000065   1.1208E+03  6.0852E+01  3.0786E+02
0000066   8.6506E+02  2.4026E+02 -2.7009E+02
0000067   7.9831E+02 -7.1105E+01  1.2518E+02
0000068   6.9430E+02 -5.2469E+01 -2.0570E+02
0000069   6.2525E+02  8.8832E+01  5.9808E+02
0000070   1.1781E+03  2.5462E+01  3.8346E+02
0000071   1.1527E+03 -2.0272E+02  1.0064E+02
0000072   1.0898E+03  7.9628E+01 -1.8522E+02
0000073   1.1008E+03  3.2405E+02  4.9993E+01
0000074   1.2015E+03 -3.0178E+01 -1.2386E+02
0000075   8.4719E+02 -2.2791E+02 -9.5776E+01
0000076   7.0175E+02  5.6510E+01  5.1364E+02
0000077   7.1580E+02 -1.4556E+02  1.6013E+01
0000078   9.6305E+02  1.0984E+02 -3.8487E+02
0000079   1.1025E+03  1.8217E+02 -1.4394E+02
0000080   1.1185E+03  2.2056E+02 -1.5884E+02
0000081   9.3104E+02  3.5788E+02 -1.0497E+02
0000082   9.8206E+02  2.3819E+01 -3.2747E+00
0000083   7.6704E+02 -2.6731E+02  2.9845E+02
0000084   9.6532E+02  1.0915E+01 -3.6455E+01
0000085   1.0919E+03 -9.0211E+01 -9.9342E+01
0000086   9.4346E+02  1.1935E+02 -1.4356E+02
0000087   9.5302E+02 -4.3603E+00  2.4304E+02
0000088   1.1381E+03 -2.2328E+02 -1.3780E+02
0000089   4.8684E+02 -3.3235E+01 -2.8786E+01
0000090   1.0423E+03  8.1009E+01 -4.1546E+00
0000091   1.2389E+03 -2.7785E+01 -1.7373E+01
0000092   8.5881E+02 -4.9696E+01 -2.7953E+02
0000093   9.3234E+02  4.7957E+01 -4.5312E+02
0000094   1.2690E+03 -1.0658E+02  2.1653E+01
0000095   9.9875E+02  1.6284E+02  2.5112E+02
0000096   8.4090E+02  3.3866E+02  1.4088E+02
0000097   1.0120E+03 -3.2570E+02 -5.0940E+02
0000098   9.0441E+02  1.3852E+02  3.9021E+02
0000099   1.0703E+03 -1.8598E+02  2.7547E+02
0000100   1.0551E+03 -2.2322E+01 -3.9249E+02
0000101   9.4578E+02 -1.9208E+02 -3.8485E+01
0000102   1.0309E+03 -1.0870E+02 -3.0960E+02
0000103   1.2094E+03 -1.9323E+02  1.0434E+02
0000104   1.1156E+03 -7.1011E+00  1.6938E+02
0000105   9.3033E+02  2.0625E+02 -4.6614E+02
0000106   1.0968E+03 -1.9699E+02  2.7456E+02
0000107   1.0913E+03 -2.3538E+01  1.0809E+02
