============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 1000000.E-06 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.5809E+01 -3.1433E+00  8.4669E+00
0000002   1.2531E+01  7.3155E+00 -1.1343E+01
0000003   3.5136E+01  2.0659E+01  9.8338E+00
0000004   1.7320E+01  5.9028E+00  2.0752E+00
0000005   9.6123E+00  3.7585E+00 -2.0851E+01
0000006   2.9018E+01 -1.7654E+00  1.6934E+01
0000007   2.7785E+01  1.0858E+01  1.1301E+01
0000008   4.5184E+01 -2.8409E-01  3.5929E+01
0000009   9.3149E+00  8.8299E+00  1.0534E+01
0000010   3.3669E+01  5.1503E+00 -8.2979E+00
0000011   5.2732E+01  1.7065E+01 -1.4611E+01
0000012   1.9844E+01 -1.9713E+00 -8.8787E+00
0000013   5.5371E+01 -2.0496E+00 -1.3695E+01
0000014   1.0007E+01 -5.7122E+00 -9.7265E-01
0000015   6.8897E+00 -4.4477E+00 -4.0452E-01
0000016   3.7206E+01 -8.1851E+00 -1.0252E+01
0000017   4.8789E+01 -1.1849E+01  1.0594E+01
0000018   2.2203E+01  1.9729E+00 -1.7468E+00
0000019   1.2477E+01  1.4846E+00 -2.1297E+01
0000020   4.4369E+01 -1.2161E+01  6.6567E+00
0000021   3.1055E+01  2.2615E+01  1.3444E+01
0000022   2.4984E+01 -9.8740E+00  2.0523E+00
0000023   2.0063E+01  5.5019E+00 -1.9342E+00
0000024   2.9202E+01 -1.0721E+01 -3.8696E+00
0000025   3.1254E+01  8.2425E+00 -2.5506E+00
0000026   7.9336E+00  5.5260E-01  9.3374E+00
0000027   6.3396E+00  7.3039E+00 -1.1785E+01
0000028   1.3465E+01 -3.8437E+00  1.0899E+01
0000029   4.8534E+01  3.5690E-01  7.2191E+00
0000030   1.1951E+01 -4.7918E+00  1.7389E+01
0000031   3.7908E+01 -7.3839E+00  1.6142E+01
0000032   2.4852E+01 -8.1027E+00  5.9234E+00
0000033   2.4676E+01  4.6429E+00 -2.0122E+01
0000034   1.6217E+01  8.5221E+00 -7.3937E+00
0000035   1.5418E+01 -6.2319E+00 -1.4395E+01
0000036   4.0748E+01 -1.5907E+00 -2.0629E+00
0000037   1.4062E+01 -3.0766E+00 -9.3773E+00
0000038   2.2747E+01 -5.5053E+00 -1.5644E+00
0000039   8.4070E+00 -5.0869E+00  8.6846E+00
0000040   2.8878E+00 -1.9306E+00  3.3485E+00
0000041   3.3358E+01  6.1741E+00 -1.1677E+01
0000042   1.6266E+01 -8.3485E+00 -1.8773E+01
0000043   4.9499E+01 -5.5625E+00  8.3984E+00
0000044   8.3828E+00  1.9002E+01  1.6516E+01
0000045   8.8147E+00  1.7701E+01 -1.1209E+01
0000046   4.1754E+01  8.1573E+00  1.8383E+01
0000047   2.0329E+01 -7.9276E+00  6.1064E+00
0000048   2.8643E+01  7.9058E+00  7.4782E-02
0000049   6.9671E+00  1.6998E+00  7.8557E+00
0000050   6.0155E+01  1.6188E+01 -6.5630E+00
0000051   3.7976E+01 -1.8087E+00 -1.1986E+01
0000052   3.8353E+01  6.2277E+00  1.0702E+01
0000053   2.1162E+01 -1.0942E+01 -8.2203E+00
0000054   1.5938E+01 -8.5593E+00  4.2468E+00
0000055   1.6574E+01 -1.5534E+01  4.8160E+00
0000056   2.3270E+01  2.9467E+00  7.6296E+00
0000057   1.3897E+01  8.0674E+00  1.4376E+00
0000058   1.1591E+01 -3.1665E+00 -1.0681E+01
0000059   2.5706E+01  9.6556E+00 -4.9547E+00
0000060   5.0292E+01 -8.8630E+00  1.7534E+01
0000061   3.6360E+01  1.3208E+01  1.0067E+01
0000062   2.3806E+01  3.1738E+00 -1.4506E+01
0000063   1.2901E+01  7.3731E+00  4.9431E+00
0000064   1.7355E+01  5.0251E+00  1.6318E+01
0000065   2.4988E+01 -8.1024E+00  6.6640E+00
0000066   5.0450E+01  1.1119E+01  1.6158E+01
0000067   2.2421E+01 -1.5878E+00  1.8588E+01
0000068   2.5067E+01 -6.2249E+00 -1.8472E+01
0000069   3.4597E+01  1.3384E+01 -8.8354E-01
0000070   1.9527E+01 -8.6517E+00  4.6375E+00
0000071   8.4976E+00 -1.6766E+01 -1.3223E+01
0000072   3.0400E+01 -1.0694E+01  1.1377E+01
0000073   4.6176E+01 -4.8879E+00  1.5466E+01
0000074   2.0446E+01  8.3296E+00 -9.3031E+00
0000075   5.1412E+01 -1.6628E+01 -1.7078E+01
0000076   2.7731E+01 -1.5629E+01 -4.4767E-01
0000077   1.2340E+01  7.1400E-01 -1.1412E+01
0000078   1.6031E+01  1.5119E+01  1.2381E+01
0000079   2.6299E+01 -1.1820E+01 -2.0183E+01
0000080   1.5548E+01  2.3140E+01  2.7470E+00
0000081   2.9934E+01 -1.1550E+00  5.2062E+00
0000082   2.5336E+01 -7.9614E+00  1.6183E+01
0000083   1.6640E+01  1.1643E+01 -1.3386E+01
0000084   1.9768E+01  5.6072E+00  4.2378E+00
0000085   1.7540E+01 -4.3792E+00 -5.7838E+00
0000086   1.6857E+01 -2.0351E+01  4.3256E+00
0000087   1.3147E+01  6.1070E+00  8.6017E-01
0000088   3.5717E+01 -6.6455E+00 -5.0577E+00
0000089   5.4047E+01  1.3894E+01 -7.9423E+00
0000090   2.5181E+01 -8.4119E+00  1.0524E+01
0000091   2.6038E+01  1.0375E+01  1.0104E+01
0000092   2.4193E+01  1.1461E+00  1.0008E+01
0000093   6.4087E+00 -3.5237E+00  2.1300E+00
0000094   1.6848E+01  8.9948E+00  9.2892E-01
0000095   1.9932E+01  8.4280E+00  1.4031E+01
0000096   9.4047E+00 -2.9464E+00 -3.2185E+00
0000097   1.6607E+01 -1.9184E+01  6.6431E+00
0000098   1.1424E+01  3.2782E+00  4.9157E+00
0000099   2.7203E+01 -1.8694E+00  1.6495E+01
0000100   1.1761E+01  1.2982E+01  3.2786E+00
0000101   2.2882E+01  1.8523E+01 -9.5718E+00
0000102   3.8978E+01  2.8980E+00  3.1584E+00
0000103   1.8978E+01  4.2209E+00 -5.3816E+00
0000104   4.1593E+01  9.1501E+00  1.5607E+01
0000105   1.7634E+01  4.3242E+00 -4.3038E+00
0000106   5.4047E+01  1.3935E+01 -2.1050E+01
0000107   4.3664E+01 -1.5456E+00 -6.5605E+00
