============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 1000000.E-06 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.0960E+00  1.2696E+00 -2.9787E+00
0000002   2.8362E+01 -4.0764E+00  4.4822E-01
0000003   3.3306E+01  1.6781E+01 -5.2183E+00
0000004   9.2878E+00 -9.5506E-01 -1.0592E-01
0000005   1.7081E+01  9.3295E-01 -2.9258E+00
0000006   3.9671E+01 -9.0698E+00 -1.9880E+01
0000007   2.6389E+01  6.4592E-01  1.7403E+01
0000008   3.1204E+01 -5.7716E+00 -1.8926E+00
0000009   3.8929E+01  2.3744E+01 -5.2387E+00
0000010   2.9356E+01  2.7754E+00 -7.2982E+00
0000011   2.1791E+01 -1.3738E+01 -1.1236E-01
0000012   3.7552E+01  1.0172E+01 -4.1509E+00
0000013   1.7407E+01 -6.4385E+00  9.4825E+00
0000014   2.8951E+01  9.9258E+00  1.7648E+01
0000015   2.1633E+01 -4.9573E+00 -1.5920E+01
0000016   3.2942E+01  2.1439E+00  1.2222E+01
0000017   4.1517E+01 -7.6952E-01 -2.8626E+00
0000018   2.0671E+01  8.9447E+00 -5.7898E+00
0000019   4.4316E+01 -9.2338E+00  1.1391E+01
0000020   1.1315E+01  1.8176E+01 -6.6524E-03
0000021   2.3853E+01 -5.7922E+00 -3.5385E+00
0000022   2.1644E+01  1.9702E+00 -2.1584E-01
0000023   2.1655E+01 -3.2648E-01 -3.6104E+00
0000024   2.8555E+01  2.4644E+00  1.2847E+01
0000025   3.0102E+01  1.3420E+01 -1.6368E+01
0000026   1.1166E+01  2.0264E-01 -1.7576E+00
0000027   2.5113E+01 -8.1483E+00  6.0171E+00
0000028   8.3853E+00  7.6211E+00 -8.5394E+00
0000029   2.2299E+00 -7.3091E+00 -4.1688E+00
0000030   9.8577E+00  4.9798E+00  7.9081E+00
0000031   4.0738E+01  5.7299E+00 -3.1458E+01
0000032   2.5052E+01 -2.0901E+01 -3.2559E+00
0000033   2.3210E+01 -3.4700E+00  1.1949E+01
0000034   5.0976E+01 -7.6209E+00 -4.6389E+00
0000035   2.8981E+01  3.7401E+00 -3.0564E+00
0000036   8.3032E+00  4.6753E+00  1.1129E+01
0000037   2.8430E+01 -1.8047E+00  2.6902E+01
0000038   3.2184E+01 -2.1367E+00 -1.7862E+00
0000039   3.2659E+01  1.0143E+01  5.2416E+00
0000040   1.0567E+01 -1.2569E+01 -1.1285E+01
0000041   2.6308E+01 -5.8964E+00 -3.0724E+00
0000042   1.4738E+01 -3.6250E+00  1.2718E+01
0000043   3.0253E+01  1.5235E+01 -6.3899E+00
0000044   4.5446E+00 -3.2268E+00 -6.7505E-01
0000045   2.7533E+01  1.5039E+01 -9.6493E+00
0000046   2.1099E+01 -1.1168E+01 -8.4221E+00
0000047   3.5410E+01 -5.0228E+00 -7.8490E+00
0000048   3.2540E+01 -1.0045E+01  1.3176E+01
0000049   2.0599E+01  1.1696E+00  1.8567E+01
0000050   1.0873E+01 -8.2029E-01  1.3759E-01
0000051   4.3028E+01 -5.6231E+00  1.3681E+01
0000052   3.1340E+01  3.3348E-01  7.0529E+00
0000053   1.2909E+01  8.8957E+00 -1.1465E+01
0000054   2.9859E+01 -7.3612E+00  1.5772E+01
0000055   2.8887E+01  2.3595E-01  3.1087E+01
0000056   2.2930E+01  7.1408E+00 -6.3135E+00
0000057   3.6604E+01  1.0523E+00 -1.8661E+01
0000058   2.2433E+01  2.4434E+00 -3.9593E+00
0000059   3.2413E+01  1.0939E+01  1.7749E-03
0000060   3.5408E+01  3.9128E+00  9.4876E+00
0000061   5.8411E+00 -6.8596E-01  2.4508E+00
0000062   3.6916E+01 -9.1610E+00  2.2561E+00
0000063   4.0605E+01  1.1161E+01  1.9385E+00
0000064   2.4550E+01 -2.4616E+00 -1.3214E+01
0000065   2.9869E+01 -2.9061E+00  8.5629E+00
0000066   2.6895E+01 -5.5460E+00  2.1806E+01
0000067   2.4049E+01  2.6159E+00  1.0204E+01
0000068   1.8621E+01  8.3032E+00 -1.9611E+00
0000069   4.1233E+01  8.3737E+00 -2.7075E+00
0000070   3.7199E+01 -9.1710E+00  4.6420E+00
0000071   3.1258E+01 -5.8743E+00 -1.2029E+01
0000072   2.6385E+01 -1.0134E+01  9.7570E+00
0000073   3.9212E+01  1.8551E+00 -1.4385E+01
0000074   3.7468E-01 -4.0407E+00 -2.2888E+01
0000075   1.5676E+01  1.7491E+01 -1.2657E+01
0000076   3.1995E+01  2.0412E+01 -8.8373E+00
0000077   2.6038E+01  1.9076E+00  7.1603E+00
0000078   1.5894E+01 -1.7464E+00  7.4596E-01
0000079   7.3990E+00  8.5538E+00  1.5680E+01
0000080   9.6082E+00  6.1723E+00 -8.1700E+00
0000081   4.1126E+01  1.3107E+01 -1.7895E+01
0000082   3.0796E+01 -4.4272E+00  7.6157E+00
0000083   5.5231E+01  6.3190E+00 -1.4598E+01
0000084   1.3844E+01 -1.1215E+01 -5.4925E-01
0000085   9.9433E+00 -1.0181E+00  4.5332E+00
0000086   2.1324E+01 -6.4539E+00  4.4471E+00
0000087   2.9820E+01  7.6715E+00 -2.7110E+00
0000088   3.1109E+01  2.2663E+01  1.2382E-01
0000089   4.8558E+01 -4.2764E+00  1.6391E+01
0000090   4.6059E+01  1.8001E+01  1.4544E+01
0000091   3.7754E+01 -5.8879E+00 -7.9199E+00
0000092   2.6753E+01  2.7821E+00  1.1016E+00
0000093   2.6283E+01  1.3718E+01  2.2268E+01
0000094   8.7322E+00 -1.2856E+01  2.0005E+01
0000095   3.6028E+01  7.5700E+00  3.0820E-01
0000096   3.0360E+01  1.8081E+01 -1.2001E+01
0000097   1.8555E+01  7.6199E+00 -1.2728E+00
0000098   3.4467E+01 -9.6642E+00 -9.2938E+00
0000099   2.1961E+01  1.7396E+01  3.3304E+00
0000100   5.1750E+01 -8.9922E+00  2.7634E+01
0000101   3.9527E+01  1.3195E+01  1.4165E+01
0000102   3.5808E+01 -1.5155E+01 -1.6439E+01
0000103   1.9047E+01 -5.9822E+00  6.6069E+00
0000104   3.3992E+01  7.8501E+00 -1.3740E+01
0000105   1.1567E+01 -3.6658E+00 -8.8469E+00
0000106   5.6541E+01 -4.8529E+00 -1.5413E+01
