============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.8427E+02 -3.7047E+01  9.9545E+01
0000002   4.0073E+02  2.3353E+02  3.9411E+01
0000003   5.4165E+02 -6.3234E+01  8.8472E+01
0000004   3.5432E+02  1.9861E+01 -3.6662E+02
0000005   5.0590E+02 -1.1467E+01  5.6299E+01
0000006   3.7506E+02  2.8248E+02 -1.6135E+02
0000007   4.2202E+02 -1.3357E+02 -1.1578E+02
0000008   7.1414E+02 -3.0545E+01 -1.2883E+01
0000009   5.3393E+02 -1.5505E+02  1.8725E+02
0000010   5.6923E+02 -2.0040E+02 -7.8913E+01
0000011   5.1714E+02  1.2470E+00  1.2665E+02
0000012   2.8142E+02  2.4470E+02  5.0173E+00
0000013   4.3701E+02  5.0428E+01  8.0316E+01
0000014   4.0675E+02  2.1186E+02  9.0888E+00
0000015   5.4142E+02 -2.5000E+00  1.5525E+02
0000016   4.7693E+02  4.6229E+01  1.3510E+02
0000017   4.0141E+02 -1.5705E+02  9.1038E+01
0000018   6.3249E+02 -1.4903E+02 -6.4552E+01
0000019   3.2416E+02 -2.2710E+02  1.7046E+00
0000020   4.0424E+02  8.0299E+01 -1.4478E+02
0000021   6.2590E+02 -1.1197E+02 -6.4759E+01
0000022   4.8364E+02 -7.2567E+01 -3.3865E+02
0000023   6.2354E+02 -1.7142E+01 -1.0582E+02
0000024   5.5108E+02 -6.6458E+01 -2.1826E+02
0000025   5.1278E+02  4.0910E+01  1.1943E+02
0000026   4.5442E+02  7.3179E+01 -9.8886E+01
0000027   5.3754E+02 -9.3542E+01  5.1333E+01
0000028   5.6087E+02  1.3235E+02 -1.0233E+02
0000029   5.4727E+02  3.1603E+01  6.2013E+01
0000030   4.9096E+02 -8.2757E+01  2.4730E+01
0000031   4.4470E+02  7.3570E+01  5.6718E+00
0000032   4.4776E+02 -2.9866E+00 -1.3794E+02
0000033   5.7615E+02  1.3833E+02  1.2845E+02
0000034   3.6957E+02 -5.5220E+01 -6.2825E+01
0000035   3.4923E+02  2.2246E+01  7.5789E+01
0000036   3.3358E+02  2.3159E+01  6.3968E+00
0000037   3.8049E+02 -1.8450E+02  5.8977E+01
0000038   4.1289E+02 -1.6201E+02  9.8541E+01
0000039   5.7592E+02  2.4766E+02 -1.2956E+02
0000040   4.2607E+02  1.6576E+02 -7.7951E+01
0000041   4.9322E+02 -7.5538E+01 -1.1078E+01
0000042   4.9158E+02 -1.0528E+02  1.6146E+02
0000043   4.5996E+02 -2.9455E+01  2.2322E+01
0000044   3.5412E+02 -1.8110E+01 -1.7046E+02
0000045   5.0941E+02  7.1098E+01 -3.4417E+02
0000046   6.3527E+02  1.8137E+02  2.0113E+01
0000047   3.8380E+02 -2.6422E+01 -3.1898E+00
0000048   5.5584E+02 -5.8526E+01  1.2483E+02
0000049   3.7084E+02  9.7249E+01  7.7006E+01
0000050   4.3445E+02 -1.3850E+02 -3.6585E+01
0000051   4.3588E+02  3.9392E+01 -3.3592E+01
0000052   5.5879E+02 -7.3132E+01 -1.4182E+02
0000053   4.1336E+02 -9.2828E+01  4.4828E+01
0000054   1.3967E+02 -2.9626E+02  2.0635E+02
0000055   4.8765E+02 -5.2443E+01  5.7265E+01
0000056   6.0430E+02  3.8121E+01 -1.1627E+02
0000057   6.5438E+02  1.0333E+02  3.1340E+01
0000058   5.9664E+02  2.4476E+02  6.3860E+01
0000059   5.2070E+02 -2.9235E+01 -1.3468E+02
0000060   2.5939E+02 -1.1335E+02 -2.1062E+02
0000061   5.7503E+02 -1.5572E+02 -4.1036E+00
0000062   4.3149E+02  1.2459E+02  8.3166E+01
0000063   3.8652E+02  9.1640E+01 -1.0467E+02
0000064   6.0940E+02  4.3449E+01 -5.3188E+00
0000065   2.7262E+02 -8.8670E+01 -8.6476E+01
0000066   5.4861E+02 -8.9519E+01  3.8936E+00
0000067   5.2852E+02 -1.5573E+02 -2.6375E+01
0000068   4.7041E+02  2.7683E+01 -1.1195E+02
0000069   5.7310E+02  7.0300E+01  3.0876E+01
0000070   3.8130E+02  9.0750E+01  1.6577E+02
0000071   5.7233E+02 -8.3881E+00  2.5263E+01
0000072   5.0777E+02 -2.6245E+02  1.1567E+02
0000073   5.5717E+02 -5.6877E+01 -1.0181E+02
0000074   3.1118E+02 -1.1439E+01  1.2802E+01
0000075   3.9550E+02  3.6330E+01  4.7224E+01
0000076   2.9464E+02 -1.3235E+02  3.0589E+01
0000077   4.5423E+02 -8.9653E+01  2.8954E+01
0000078   6.3729E+02 -1.7061E+01  1.1077E+02
0000079   4.4770E+02 -6.8177E+01 -2.3828E+01
0000080   1.7210E+02 -1.2890E+02 -2.1159E+02
0000081   1.6752E+02  2.8453E+01  1.0207E+02
0000082   5.7201E+02 -1.2883E+02  1.7155E+01
0000083   3.4868E+02  1.9387E+00  1.1691E+01
0000084   4.9873E+02 -5.3953E-01 -3.1204E+02
0000085   3.1312E+02  1.7876E+02 -6.7068E+01
0000086   5.7204E+02  1.0895E+02 -1.4898E+02
0000087   2.2658E+02 -3.8565E+01  9.6751E+01
0000088   5.5626E+02  4.1630E+01  7.6483E+00
0000089   6.3885E+02 -3.0018E+02  2.8131E+01
0000090   4.7965E+02 -1.9625E+01  8.2289E+00
0000091   2.5805E+02 -2.9926E+02  3.1013E+01
0000092   5.9931E+02  3.0123E+01 -1.1563E+01
0000093   4.1239E+02  9.6574E+01 -7.9988E+01
0000094   3.6727E+02 -1.1442E+02  5.5507E+01
0000095   3.8131E+02  1.3792E+02 -1.0059E+02
0000096   3.2631E+02  1.5130E+02 -4.6257E+01
0000097   3.5809E+02  1.4233E+02 -8.9907E+01
0000098   5.4926E+02 -1.4380E+02 -2.7564E+02
0000099   4.3574E+02 -9.7910E+00  9.8673E+01
0000100   5.9726E+02 -5.2114E+01  9.3632E+01
0000101   4.6332E+02  6.0211E+01 -4.8331E+01
0000102   5.1673E+02 -2.9482E+01  3.3189E+02
0000103   5.0438E+02 -5.4363E+01  3.0745E+01
0000104   5.8077E+02  2.3483E+02  1.8047E+02
0000105   3.6071E+02  1.2261E+02  3.3674E+02
0000106   6.3870E+02  7.2905E+01  1.4384E+02
