============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 3000000.E-06 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   6.8993E+01 -5.5103E+00  3.0911E+01
0000002   2.4466E+01  2.4374E+01 -1.0417E+01
0000003   6.7513E+01  2.4241E+01 -3.1294E+01
0000004   8.9976E+01  1.7549E+01  3.1721E+01
0000005   1.0045E+02 -2.8290E+01  2.0539E+01
0000006   8.7502E+01  2.1191E+01  1.8252E+01
0000007   5.9845E+01 -1.2119E+01 -3.1396E+01
0000008   1.2278E+01  1.1105E+01 -1.2026E+01
0000009   1.2706E+01 -2.0447E+00 -3.9568E+01
0000010   6.7453E+01  1.3593E+00  1.0665E+01
0000011   3.2614E+01  3.0926E+00 -1.7173E+01
0000012   8.1694E+01  4.3406E+01 -2.9459E+00
0000013   9.1052E+01 -5.1063E+01  7.0463E+00
0000014   6.2120E+01  2.7748E+01  2.7397E+01
0000015   9.3954E+01 -3.8188E+01 -1.8336E+01
0000016   8.6340E+01  2.3313E+01 -2.2183E+01
0000017   2.0586E+01  2.0676E+01 -1.0350E+01
0000018   9.9325E+01  1.4712E+01 -3.1784E+01
0000019   6.3646E+01 -1.9068E+01  3.2856E+01
0000020   7.0030E+01  4.4444E+00 -2.0620E+00
0000021   4.3001E+01  6.6490E+00  1.4502E+01
0000022   5.0951E+01  2.2253E+01 -1.1950E+01
0000023   6.5457E+01  7.9482E+00 -5.5721E+01
0000024   4.0543E+01  3.5145E+01  4.5879E+00
0000025   5.4034E+01 -2.5101E+01 -4.3027E+01
0000026   1.6396E+01  1.8229E+00  1.2633E+01
0000027   7.3473E+01  1.3301E+01  2.5725E+01
0000028   3.3924E+01  2.3893E+01 -6.6830E+00
0000029   3.8004E+01 -6.5676E+00 -8.3184E+00
0000030   4.1208E+01  4.2150E+01 -1.3977E+01
0000031   8.6332E+01 -7.3199E+00  3.3112E+00
0000032   4.1732E+01 -1.4064E+01  3.2725E+01
0000033   4.2031E+01  7.8411E+00 -3.2277E+01
0000034   9.6057E+01  2.9696E+01  9.5045E-01
0000035   9.4802E+01  3.3628E+01  2.5753E+00
0000036   9.8927E+01  2.8921E+01 -1.4946E+01
0000037   4.5651E+01 -3.2691E+00  2.3298E+01
0000038   8.4985E+01  5.9446E+00 -1.7175E+01
0000039   5.5799E+01 -2.3827E+01  2.5531E+01
0000040   8.1942E+01 -1.4297E+01  1.3721E+01
0000041   3.1541E+01 -8.0898E+00  5.5758E+00
0000042   4.9638E+01  1.0022E+01 -2.1238E+01
0000043   4.3418E+01 -1.3230E+01  9.6075E+00
0000044   5.5762E+01 -4.0087E+01 -3.1985E+01
0000045   7.3875E+01 -1.8203E+01  1.5297E+00
0000046   3.0324E+01 -2.6602E+01 -7.1966E-01
0000047   5.9954E+01 -9.0541E+00 -1.0890E+01
0000048   5.2484E+01 -3.2884E+01  4.4049E+01
0000049   6.7243E+01 -1.0644E+01  1.4369E+01
0000050   3.0280E+01  1.0625E+00  2.1730E+01
0000051   2.9118E+01  1.0491E+01 -2.7070E+01
0000052   4.3955E+01 -3.9543E+01 -4.7070E+00
0000053   5.8398E+01 -1.9870E+01  1.8696E+01
0000054   4.1727E+01  8.3396E+00 -3.2621E+00
0000055   4.5258E+01 -8.5295E-02 -1.2070E+01
0000056   6.2511E+01  2.8462E+01  5.2470E+00
0000057   7.9270E+01 -8.7035E-01 -1.0747E+01
0000058   6.6459E+01  3.2512E+01  1.3235E+01
0000059   7.5758E+01  2.0375E+01  7.3251E-01
0000060   4.9377E+01 -7.3383E+00  3.2344E+01
0000061   4.5468E+01 -4.8566E+00 -2.3232E+01
0000062   6.5778E+01 -2.0201E+01 -1.2441E+01
0000063   8.1098E+01 -3.2308E+00  1.3430E+01
0000064   5.3563E+01 -1.5725E+01  3.2940E+01
0000065   5.6159E+01 -6.6013E+00  2.1119E+01
0000066   2.2697E+01 -1.5544E+01 -7.4697E+00
0000067   7.5435E+01  2.6358E+01 -1.6486E+01
0000068   5.2854E+01 -3.7590E+01  3.4970E+00
0000069   4.4750E+01 -2.8621E+01  4.5304E+01
0000070   7.4194E+01  3.5143E+01 -4.4449E+01
0000071   8.7198E+01  3.9108E+01 -4.0764E+01
0000072   6.0732E+01 -4.1357E+01  8.1100E+01
0000073   7.1465E+01 -1.4229E+01  6.3692E-01
0000074   8.0219E+01 -1.8819E+00  1.1831E+01
0000075   7.4316E+01 -3.1722E-01  3.7726E-01
0000076   4.5818E+01  7.1845E+00  7.6197E+00
0000077   6.7777E+01 -4.1314E+01  3.7270E+01
0000078   5.7384E+01 -2.1088E+00  2.1395E+01
0000079   7.4390E+01 -2.1553E+01  7.8339E+00
0000080   6.3916E+01 -3.1693E+01 -8.2236E-01
0000081   1.2022E+01  2.7750E+01 -3.7926E+01
0000082   8.6360E+01  5.4728E+00 -1.1031E+01
0000083   4.2969E+01  8.1133E+00  1.1494E+01
0000084   6.8455E+01  3.9416E+00 -1.4355E+01
0000085   5.4092E+01  2.1967E+01 -4.1031E+01
0000086   9.9672E+01  1.3055E+01  3.6828E+01
0000087   9.3822E+01  1.3543E+01 -9.7008E+00
0000088   4.6253E+01 -2.3269E+00 -3.5793E+01
0000089   3.4558E+01  3.4176E+01  1.0992E+01
0000090   5.1441E+01 -1.6573E+01  1.2049E+01
0000091   8.1001E+01  1.7228E+00 -3.4053E+01
0000092   4.9901E+01  8.9390E+00  9.5820E+00
0000093   5.9519E+01 -1.8718E+01  8.8937E+00
0000094   4.2339E+01 -2.2541E+00 -1.2626E+01
0000095   9.1988E+01 -3.5562E+00  2.0377E+00
0000096   4.6020E+01  2.5855E+00  1.6479E+01
0000097   4.3132E+01  3.6310E+01  1.9206E+01
0000098   3.8916E+01 -3.3260E+00  1.7688E+00
0000099   4.3306E+01  9.4284E+00  1.2322E+01
0000100   9.0008E+01 -2.1017E+01 -4.8366E+01
0000101   4.7183E+01  1.0229E+01 -3.6526E+01
0000102   6.3960E+01 -1.0401E+01  4.0440E+00
0000103   3.3336E+01 -7.2522E+00 -3.8788E+01
0000104   8.2711E+01  1.1802E+01 -8.8112E-01
0000105   7.5098E+01 -2.7001E+01 -7.6600E+00
0000106   2.9881E+01 -5.1871E+00 -1.8473E+01
