============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.3689E+03  2.0608E+01  2.1100E+01
0000002   1.1569E+03  2.2518E+02 -2.6094E+02
0000003   1.2415E+03 -2.5384E+02 -3.3169E+02
0000004   1.3817E+03  4.0296E+02 -2.1729E+02
0000005   1.1602E+03 -3.5540E+02  4.1286E+02
0000006   1.3070E+03 -1.3457E+02  1.7006E+02
0000007   1.5326E+03  7.3045E+01  1.4886E+02
0000008   1.5549E+03 -1.1428E+02  1.4333E+02
0000009   1.0607E+03 -3.3139E+02 -1.3470E+02
0000010   1.5909E+03 -3.5222E+02 -1.6280E+02
0000011   1.0274E+03  2.9194E+01  1.2592E+02
0000012   1.1297E+03  3.3177E+02 -8.7142E+01
0000013   8.7910E+02 -2.1071E+01 -6.4510E+02
0000014   1.2986E+03 -2.2145E+02  2.3259E+02
0000015   1.2690E+03 -3.0765E+02 -2.3995E+02
0000016   1.6551E+03 -2.0134E+02 -9.4370E+01
0000017   1.3503E+03  2.7674E+02  1.6005E+02
0000018   1.4597E+03  3.5682E+02 -5.2264E+02
0000019   1.5022E+03  1.2457E+02 -2.8716E+02
0000020   1.7010E+03  1.3321E+02  4.1666E+01
0000021   1.2587E+03 -1.8320E+02 -8.8072E+01
0000022   5.9964E+02  2.3692E+02 -7.5099E+02
0000023   1.0958E+03  4.0241E+02 -1.5201E+02
0000024   1.2397E+03  2.5714E+02 -9.7400E+01
0000025   1.5432E+03  2.9383E+02 -1.1637E+02
0000026   1.5223E+03 -2.0457E+01  8.7763E+01
0000027   1.1441E+03  2.3232E+02 -1.9884E+02
0000028   1.3395E+03  9.6061E+01 -1.0174E+02
0000029   1.3724E+03 -2.1668E+02  2.7650E+02
0000030   5.1521E+02 -1.0436E+02 -1.2161E+02
0000031   1.5417E+03 -3.3419E+02 -3.1244E+02
0000032   1.5808E+03  3.2379E+02  5.3200E+01
0000033   1.1983E+03  2.0682E+02  1.6561E+02
0000034   1.4937E+03 -3.4743E+02  1.6590E+02
0000035   1.2706E+03  2.8178E+02 -1.6920E+02
0000036   1.3049E+03 -1.5977E+02  2.3822E+02
0000037   1.5481E+03  3.0590E+02  4.6086E+01
0000038   1.4551E+03  1.6887E+02  9.2391E+01
0000039   1.0589E+03 -8.5586E+01  9.0622E+01
0000040   1.3295E+03 -1.9378E+01  1.6721E+02
0000041   1.3021E+03  3.4065E+02  1.7842E+02
0000042   1.4925E+03  2.0747E+02  1.0435E+02
0000043   8.4317E+02  7.1341E+00  3.0854E+02
0000044   6.4631E+02  1.7709E+02 -2.7493E+02
0000045   1.4373E+03  2.7008E+02 -2.5680E+02
0000046   1.1193E+03  1.6436E+02 -6.7484E+01
0000047   1.5445E+03 -2.2383E+02  3.1950E+02
0000048   1.1932E+03  4.2105E+02  4.8447E+02
0000049   1.3782E+03 -4.0873E+02 -4.5939E+02
0000050   1.3990E+03 -1.0657E+02  2.1277E+02
0000051   1.3315E+03  1.9850E+02 -9.7188E+01
0000052   1.7686E+03  2.4309E+02 -2.0160E+02
0000053   1.2200E+03 -4.5682E+02  2.6135E+02
0000054   1.6334E+03 -9.9401E+01 -6.1735E+02
0000055   7.8425E+02 -9.0133E+01  6.7399E+02
0000056   1.5000E+03 -5.1096E+02 -2.0941E+02
0000057   1.5826E+03  1.4919E+02  8.9999E+01
0000058   1.6387E+03  2.7532E+01  1.0176E+02
0000059   1.1137E+03  1.4466E+02 -2.7565E+02
0000060   1.6549E+03  1.9087E+01 -6.8677E+01
0000061   1.4384E+03  2.3301E+02  3.8191E+02
0000062   1.2672E+03 -4.2902E+01  7.2143E+00
0000063   6.3380E+01 -3.3593E+02 -7.8595E+01
0000064   1.4576E+03  3.7983E+02  4.5663E+01
0000065   1.4705E+03  3.4563E+01  4.4443E+02
0000066   1.3140E+03  8.8144E+01  4.5948E+02
0000067   1.3158E+03 -5.1126E+02 -1.6127E+02
0000068   1.2843E+03  1.4753E+02 -4.5699E+02
0000069   1.6755E+03 -1.8425E+01 -9.2881E+01
0000070   1.6789E+03  1.1083E+02  2.5508E+01
0000071   1.3083E+03  1.0882E+02  2.7217E+02
0000072   1.4013E+03 -8.6645E+01 -1.8782E+02
0000073   1.6125E+03 -2.5595E+01 -2.8852E+02
0000074   1.2893E+03 -4.3267E+02 -1.0549E+02
0000075   7.9800E+02  2.5040E+01  1.0488E+02
0000076   1.4607E+03  6.1532E+01 -1.6536E+02
0000077   1.6782E+03 -7.7251E+01  8.2055E+01
0000078   1.7376E+03 -2.0125E+01 -2.2782E+02
0000079   1.5941E+03  3.5429E+02 -2.3044E+02
0000080   1.4965E+03 -5.0061E+01 -1.7234E+02
0000081   1.5463E+03 -8.8329E+01  2.4828E+01
0000082   1.5872E+03  3.5244E+02  4.1467E+02
0000083   7.9375E+02  6.5737E+01 -4.6686E+00
0000084   5.9201E+02 -6.6217E+02  1.0614E+02
0000085   1.5240E+03  1.7714E+02  7.5204E+00
0000086   1.4987E+03 -3.0021E+02 -1.2014E+02
0000087   1.2943E+03  1.5097E+01 -2.2477E+02
0000088   1.4917E+03  3.5484E+02  1.9117E+02
0000089   1.1376E+03 -4.0606E+01  1.0416E+02
0000090   1.4725E+03  6.5819E+01  2.2075E+02
0000091   1.3745E+03  1.5367E+02 -1.0106E+02
0000092   8.9059E+02  5.7942E+02  1.7805E+02
0000093   1.0845E+03  1.2271E+02  3.9957E+02
0000094   1.2481E+03 -3.5331E+02  3.4332E+02
0000095   1.2143E+03 -7.9947E+01  2.1151E+01
0000096   9.2979E+02  5.8630E+02  4.5655E+02
0000097   1.3863E+03 -1.0142E+02  2.7093E+01
0000098   1.0624E+03 -2.5004E+02  2.1715E+02
0000099   1.4184E+03 -9.1376E+01  6.8335E+01
0000100   1.0298E+03  4.4583E+02  4.2094E+02
0000101   1.1757E+03  3.8415E+02 -5.1277E+02
0000102   1.2050E+03 -4.5527E+02 -4.9918E+01
0000103   1.0292E+03 -3.7183E+02 -1.0370E+02
0000104   6.5710E+02 -2.2954E+02  1.2072E+02
0000105   7.9552E+02 -1.2383E+02  1.3370E+02
0000106   1.2277E+03  2.5352E+02 -4.2500E+02
0000107   1.2454E+03 -4.2761E+01 -2.1421E+02
