============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.0670E+03  3.1320E+02  3.2116E+02
0000002   1.4415E+03 -3.2617E+02  1.0022E+02
0000003   1.0624E+03 -5.5865E+01  1.4598E+02
0000004   1.3532E+03  2.5353E+01 -3.6771E+01
0000005   1.5123E+03 -1.8177E+01  1.6108E+02
0000006   1.3707E+03 -1.3026E+02  6.5279E+01
0000007   1.3805E+03  1.8571E+02 -1.0688E+02
0000008   7.4735E+02  5.1823E+01 -5.2357E+02
0000009   9.7787E+02 -2.7795E+02  1.2281E+02
0000010   1.5003E+03 -1.6210E+02  1.1659E+02
0000011   1.3176E+03 -2.0156E+02  3.7920E+02
0000012   1.2496E+03  5.1632E+01 -2.1177E+02
0000013   1.4957E+03 -1.3160E+02 -1.6204E+01
0000014   1.3006E+03  2.7298E+02 -1.8168E+01
0000015   1.4008E+03  2.0539E+02 -2.2782E+02
0000016   1.1717E+03  5.7973E+01 -1.2160E+02
0000017   1.4373E+03  1.0616E+02 -1.3336E+02
0000018   1.3024E+03 -4.7586E+02  1.7186E+02
0000019   1.4554E+03  3.6609E+02 -3.6823E+02
0000020   1.5269E+03 -3.1242E+02 -3.9573E+02
0000021   1.4308E+03 -1.1030E+02 -3.2908E+01
0000022   1.5137E+03  3.4951E+02 -1.6198E+02
0000023   1.2724E+03  2.8937E+02  3.6623E+02
0000024   9.4001E+02 -2.6253E+02  7.8706E+01
0000025   1.1671E+03 -3.5436E+02  3.4145E+02
0000026   1.4466E+03  2.1215E+02 -5.6881E+01
0000027   1.4534E+03 -3.0597E+01  2.8493E+02
0000028   1.4650E+03 -2.5575E+01  2.6914E+02
0000029   1.2403E+03 -2.1584E+01  6.8879E+01
0000030   1.3257E+03  3.4461E+02 -4.3190E-01
0000031   1.6631E+03  2.6285E+02  5.1083E+01
0000032   1.4819E+03  3.0817E+02 -3.0345E+01
0000033   1.2906E+03  1.3703E+02  9.5571E+01
0000034   1.0686E+03  6.2542E+02  1.1821E+02
0000035   1.0822E+03  5.7194E+01 -2.3246E+02
0000036   1.4136E+03  4.2852E+02  1.9885E+02
0000037   8.6500E+02  1.0894E+02 -3.4422E+01
0000038   1.0174E+03 -1.5232E+02  2.4078E+02
0000039   1.2419E+03  1.0823E+02  1.5866E+02
0000040   1.1398E+03 -2.8560E+01 -6.3915E+01
0000041   1.3914E+03  1.5799E+02 -9.7189E+01
0000042   1.5945E+03  1.0285E+02 -7.9289E+01
0000043   1.4477E+03 -4.6378E+02  2.3958E+02
0000044   1.5317E+03  4.2782E+01  7.7599E+01
0000045   1.1978E+03  2.1307E+01  5.7088E+01
0000046   1.0689E+03  5.5319E+01  3.8802E+01
0000047   1.0875E+03 -5.7913E+02 -1.8314E+02
0000048   1.2522E+03 -1.0660E+02 -5.6233E+02
0000049   1.2952E+03  1.5987E+02  3.1819E+01
0000050   1.2552E+03  1.6226E+02 -3.4360E+01
0000051   1.5169E+03  4.4720E+02  1.2996E+02
0000052   1.5732E+03  1.6425E+01 -4.6323E+01
0000053   1.7003E+03 -1.2395E+02  3.8916E+01
0000054   1.4122E+03  2.1074E+02  1.7415E+01
0000055   9.1334E+02 -1.6136E+02  3.1302E+02
0000056   1.0506E+03  3.9986E+01  7.4312E+01
0000057   1.1962E+03 -2.7708E+02 -6.4013E+02
0000058   1.4919E+03  2.6442E+02 -1.4078E+02
0000059   9.1170E+02 -2.6468E+02  3.5239E+02
0000060   1.5225E+03 -1.6695E+02  5.1262E+01
0000061   1.0184E+03  1.1249E+02 -3.3492E+02
0000062   9.0250E+02  6.5347E+02  6.3141E+02
0000063   1.5112E+03 -1.0958E+02 -1.6244E+00
0000064   1.3981E+03 -5.3774E+01  1.6862E+02
0000065   1.3037E+03  2.1844E+02  1.5236E+02
0000066   1.5997E+03 -3.3348E+02  5.4283E+02
0000067   1.4057E+03  5.4920E+02 -3.4697E+02
0000068   1.5328E+03  5.4975E+01  1.5164E+02
0000069   1.3865E+03  8.2654E+01  2.7224E+02
0000070   1.4684E+03  2.4016E+02 -4.4913E+02
0000071   1.1723E+03  3.5049E+02  2.5286E+02
0000072   1.3427E+03 -5.5055E+00 -8.1278E+01
0000073   1.4289E+03  5.8374E-01  5.0969E+01
0000074   9.1927E+02 -2.0614E+02 -6.0380E+02
0000075   1.4354E+03 -2.0432E+01  1.2730E+02
0000076   1.4303E+03  2.9685E+02 -2.7834E+02
0000077   1.5723E+03  9.6293E+01 -9.8260E+01
0000078   1.3361E+03 -7.6512E+01  2.2874E+02
0000079   1.4943E+03  4.9307E+02  3.6460E+02
0000080   1.6624E+03 -1.0424E+02  6.6946E+01
0000081   1.5713E+03  3.5236E+02  8.2796E+01
0000082   1.4689E+03  2.8881E+01 -1.6676E+02
0000083   1.0706E+03  5.7213E+02 -1.9836E+02
0000084   8.0113E+02 -7.4027E+02 -3.6827E+01
0000085   1.3818E+03  3.5858E+01 -1.3517E+02
0000086   1.6543E+03 -9.0287E+01  1.4043E+02
0000087   1.5904E+03 -3.7234E+02 -1.5920E+02
0000088   1.2505E+03 -4.2987E+01  3.7233E+01
0000089   1.6341E+03  1.0367E+02  2.2660E+02
0000090   1.4422E+03 -1.1526E+02 -7.8045E+01
0000091   1.5551E+03  1.1598E+02  8.9224E+01
0000092   1.1896E+03  1.8670E+02  5.6302E+02
0000093   1.4761E+03 -2.0156E+02 -9.7386E+01
0000094   1.3923E+03  5.0021E+01 -7.4368E+01
0000095   1.6487E+03  1.6376E+02  2.4190E+02
0000096   1.4596E+03  4.0758E+01 -7.5585E+01
0000097   1.3477E+03  9.5309E+01 -2.2252E+02
0000098   1.4486E+03 -2.6545E+02 -1.5496E+02
0000099   1.1176E+03 -4.0512E+02  1.6897E+02
0000100   1.4292E+03 -6.4072E+01 -3.7459E+01
0000101   1.0812E+03 -1.7076E+02  4.6883E+02
0000102   1.6108E+03 -2.8910E+01  7.0273E+01
0000103   1.3154E+03  8.2109E+01 -6.7490E+01
0000104   1.1589E+03  2.1481E+02 -4.8705E+01
0000105   1.1145E+03  3.9989E+02 -3.8512E+02
0000106   1.3124E+03  6.8052E+02  3.0171E+02
0000107   1.3453E+03 -3.6540E+02 -2.3163E+01
