============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.4934E+03 -2.7091E+01 -3.8128E+02
0000002   1.3782E+03  1.0279E+02  2.2803E+02
0000003   1.4508E+03  1.3939E+02  2.2185E+02
0000004   8.4451E+02 -5.5612E+02 -4.2496E+02
0000005   9.6580E+02  1.1223E+02 -1.8895E+02
0000006   1.3093E+03 -2.5856E+02 -1.4467E+01
0000007   1.3702E+03  2.3962E+02  2.6008E+02
0000008   1.1787E+03  1.7219E+02 -4.8029E+02
0000009   1.1307E+03 -5.7402E+02  4.0675E+02
0000010   1.2881E+03  2.2539E+02  2.3456E+02
0000011   1.4931E+03 -5.4472E+01 -1.6662E+02
0000012   1.5807E+03  3.6677E+01  2.6241E+02
0000013   1.6503E+03  2.0033E+02  2.5544E+02
0000014   8.4929E+02 -1.5615E+02  3.3302E+01
0000015   1.4562E+03  9.8247E+01 -2.6560E+01
0000016   5.9305E+02 -1.8181E+02 -1.8780E+02
0000017   1.5721E+03 -1.7341E+02  1.0812E+02
0000018   1.4644E+03 -1.5637E+02  1.8103E+02
0000019   1.3053E+03  1.2667E+00  1.1440E+02
0000020   1.2128E+03  3.9662E+01  5.3018E+02
0000021   9.0529E+02  1.5471E+02 -4.6233E+01
0000022   1.5726E+03  5.9697E+01 -5.1535E+01
0000023   8.9825E+02 -1.3377E+02 -3.6176E+02
0000024   1.4182E+03 -1.5767E+02  3.1552E+02
0000025   1.3317E+03 -1.0226E+02  6.9316E+01
0000026   1.2904E+03  1.8635E+02  3.8782E+02
0000027   1.5149E+03 -1.6094E+02  5.8670E+01
0000028   1.0254E+03  4.7146E+02  5.3801E+02
0000029   1.1814E+03  1.9517E+02 -3.9314E+02
0000030   1.3956E+03  2.3537E+02  2.1147E+01
0000031   1.0463E+03 -3.0471E+00  3.9693E+02
0000032   1.4954E+03  2.0535E+01  2.5528E+02
0000033   1.3245E+03 -6.0542E+02 -6.4549E+01
0000034   5.1940E+02  3.6215E+01 -5.1027E+01
0000035   1.3920E+03  2.0088E+02  1.7729E+02
0000036   1.1332E+03 -4.3525E+02  1.3324E+02
0000037   1.3450E+03 -1.3939E+02 -1.0914E+02
0000038   1.4158E+03  2.2753E+02  3.4380E+02
0000039   1.4063E+03 -1.9108E+02 -8.4871E+00
0000040   1.2915E+03 -3.0930E+02  1.4313E+02
0000041   1.4616E+03 -1.0901E+02 -2.0514E+02
0000042   1.7224E+03 -7.8789E+00  2.1434E+02
0000043   1.2739E+03  3.0601E+02 -2.7896E+02
0000044   1.7346E+03 -2.5390E+02  3.3860E+01
0000045   1.4484E+03  7.7751E+01  3.7989E+02
0000046   1.2848E+03 -2.5701E+02  2.2877E+01
0000047   1.3863E+03  2.2341E+02 -1.0780E+02
0000048   1.4088E+03  3.1421E+01 -2.4164E+02
0000049   1.3933E+03 -7.6290E+01  1.8823E+02
0000050   7.6425E+02 -8.0501E+01 -3.8967E+02
0000051   1.0572E+03 -1.8292E+02  1.7248E+02
0000052   1.0245E+03 -3.5266E+02  5.7590E+02
0000053   1.5186E+03 -1.2774E-01 -2.9302E+01
0000054   1.6041E+03  3.3083E+02 -9.1269E+01
0000055   1.2397E+03 -3.0907E+01 -1.9242E+02
0000056   1.4315E+03 -4.3682E+02 -1.2991E+02
0000057   1.6196E+03  3.0163E+01  1.3264E+02
0000058   1.0706E+03  1.3191E+02  2.3267E+02
0000059   1.4346E+03 -1.4156E+02 -2.0767E+02
0000060   6.8335E+02  1.9239E+02  8.9985E+01
0000061   1.2397E+03 -2.0693E+02 -1.3224E+01
0000062   1.3092E+03  9.4936E+01  4.5660E+02
0000063   1.6108E+03 -2.4471E+02 -8.1699E+01
0000064   1.3582E+03 -1.3436E+01 -1.5637E+02
0000065   1.5098E+03 -4.7543E+02  2.3631E+01
0000066   1.4451E+03 -4.8178E+02  1.9649E+02
0000067   1.2880E+03 -5.8447E+02  1.1256E+02
0000068   1.3058E+03  4.1186E+01 -7.3097E+01
0000069   1.0445E+03 -4.7666E+02 -5.8583E+02
0000070   1.2169E+03 -2.4779E+01 -1.9607E+02
0000071   1.1585E+03  2.8220E+02  4.7988E+01
0000072   1.1636E+03  2.2617E+02  1.3572E+02
0000073   1.6553E+03 -1.5576E+02  1.9041E+02
0000074   1.2335E+03  1.2164E+02 -1.8343E+02
0000075   9.1006E+02 -4.2635E+02 -2.2717E+01
0000076   1.5753E+03 -4.1989E+01  1.5662E+01
0000077   9.5606E+02 -2.0602E+01  5.7115E+02
0000078   1.4251E+03  3.7627E+02  1.9781E+02
0000079   1.5843E+03  2.4443E+02  1.2448E+02
0000080   1.0924E+03  1.2178E+02  7.1754E+01
0000081   1.2513E+03  2.2244E+02 -3.7949E+02
0000082   1.4488E+03 -4.2021E+02 -2.8512E+02
0000083   1.2667E+03  7.4894E+02 -3.9014E+01
0000084   1.3663E+03  3.0270E+02  6.6022E+01
0000085   1.6503E+03 -1.4688E+01  2.4948E+02
0000086   1.2853E+03  4.4550E+02 -1.0392E+02
0000087   1.4865E+03  1.3312E+02 -1.8545E+02
0000088   1.1055E+03  1.8288E+01 -6.3980E+01
0000089   1.3661E+03  3.5515E+02  1.7203E+02
0000090   1.2894E+03  1.0374E+02 -4.0165E+02
0000091   1.2599E+03  8.8637E+00 -1.7151E+02
0000092   1.5172E+03 -2.7533E+02  2.2862E+02
0000093   1.3824E+03 -2.1923E+02 -3.0667E+02
0000094   9.8142E+02 -1.1813E+02  3.1001E+01
0000095   1.4126E+03  1.6397E+02 -8.2598E+01
0000096   1.1270E+03  6.0025E+02 -4.6659E+01
0000097   1.3072E+03  4.6087E+01  8.0095E+01
0000098   1.3745E+03  3.8597E+02  6.1042E+00
0000099   1.3208E+03  2.0590E+02 -3.9235E+02
0000100   1.3444E+03 -5.2106E+02 -3.3049E+01
0000101   1.5526E+03  9.1474E+01  7.1204E+01
0000102   1.3053E+03 -3.2718E+02  2.9410E+02
0000103   1.0791E+03 -5.8389E+01 -8.2899E+01
0000104   9.1709E+02 -1.3428E+02  3.0829E+02
0000105   1.4927E+03  2.7712E+02  1.6303E+02
0000106   1.5233E+03 -1.5012E+02  1.6977E+02
0000107   1.3477E+03  1.3857E+01  1.5389E+02
