============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   5.5467E+02 -4.0499E+00 -1.2850E+02
0000002   5.7677E+02 -1.8010E+02 -7.3873E+01
0000003   3.1654E+02  1.8408E+02 -7.1325E+01
0000004   3.8987E+02  6.8181E+01 -4.3002E+01
0000005   3.8304E+02  6.5222E+01  4.9284E+01
0000006   4.9812E+02  7.5849E+00  1.1258E+02
0000007   5.4311E+02  1.4307E+02 -1.9150E+01
0000008   3.5470E+02 -1.4418E+02  3.4785E+01
0000009   3.6235E+02 -3.0743E+01  5.9878E+01
0000010   4.6488E+02  2.8146E+02 -9.6165E+00
0000011   4.4767E+02 -1.1575E+02  1.2004E+02
0000012   2.3907E+02  3.7782E+01  1.8580E+00
0000013   3.3759E+02  1.7322E+02  8.3900E+01
0000014   5.5653E+02  5.7010E+01 -1.6051E+02
0000015   6.4130E+02  3.5665E+01 -8.7101E+01
0000016   4.7636E+02  1.4246E+02  7.1745E+01
0000017   7.0560E+02 -2.6666E+01  3.3958E+01
0000018   6.0044E+02 -9.9029E+01  2.5141E+02
0000019   4.2466E+02  9.4405E+01 -2.0216E+02
0000020   3.0769E+02 -2.5197E+02  1.2253E+02
0000021   5.5015E+02 -4.6075E+00 -1.2631E+02
0000022   3.6851E+02  1.0305E+02  3.7930E+01
0000023   4.3227E+02 -1.7282E+02  1.2826E+02
0000024   3.9297E+02 -1.7835E+01  2.2564E+02
0000025   3.5878E+02  1.2314E+02 -1.2908E+02
0000026   5.0862E+02  1.0153E+02  6.4794E+01
0000027   4.4283E+02 -1.5928E+02 -1.2634E+02
0000028   4.5746E+02  6.4147E+01  1.7359E+02
0000029   2.7329E+02 -1.1253E+01  2.0907E+02
0000030   3.8428E+02  6.8620E+01  5.7388E+01
0000031   4.9032E+02 -5.9796E+01 -6.9951E+01
0000032   5.9908E+02  1.0974E+02 -1.9107E+01
0000033   4.9794E+02  1.2351E+02 -2.8330E+01
0000034   2.1920E+02  3.8395E+01 -1.3529E+02
0000035   5.4807E+02  5.0898E+01 -3.6688E+01
0000036   4.7113E+02 -6.3880E+01  9.1814E+01
0000037   4.9877E+02 -1.4440E+02  3.3557E+01
0000038   4.5831E+02 -1.9398E+02 -1.3479E+01
0000039   4.4755E+02  1.0617E+02 -9.2578E+00
0000040   5.2143E+02 -3.1983E+02  1.9196E+02
0000041   5.3037E+02  1.8788E+02  1.8746E+01
0000042   6.1079E+02  2.4168E+02  1.3084E+02
0000043   3.9860E+02 -2.7182E+02  2.3506E+02
0000044   3.9335E+02 -1.6204E+02  2.0350E+02
0000045   4.6530E+02 -7.7292E+01 -1.1976E+02
0000046   1.8135E+02 -6.8144E+01  1.1712E+02
0000047   5.1291E+02 -3.5805E+01 -1.0706E+02
0000048   6.2901E+02  2.9154E+02  5.0016E+01
0000049   4.8936E+02  4.6450E+01  7.1813E+01
0000050   2.0743E+02  7.5518E+01 -1.9397E+02
0000051   2.0301E+02 -2.3053E+02 -6.4104E+01
0000052   4.6804E+02  7.9941E+01 -3.3121E+01
0000053   3.4322E+02  1.2508E+02  5.2175E+01
0000054   5.5168E+02  5.2018E+01  4.6071E+01
0000055   4.3261E+02 -5.1544E+01 -2.7614E+02
0000056   5.1459E+02  1.1862E+02 -1.7132E+02
0000057   3.4416E+02 -7.3599E+01  3.0188E+01
0000058   4.2053E+02  8.6040E+01  1.3635E+01
0000059   4.5156E+02 -3.0472E+02  1.8399E+02
0000060   5.8760E+02  7.3319E+01 -1.4024E+02
0000061   6.0204E+02  1.0281E+02 -3.9730E+01
0000062   3.2885E+02 -1.8309E+02 -6.4241E+01
0000063   4.5803E+02 -4.5946E+01  9.5224E+01
0000064   1.7542E+02 -1.6549E+02 -1.2186E+02
0000065   5.8729E+02 -9.4316E+01 -1.9021E+02
0000066   6.3173E+02 -7.2879E+00 -1.6313E+02
0000067   5.4725E+02 -1.2694E+01  1.7796E+00
0000068   6.2969E+02  1.3831E+02  1.3818E+02
0000069   5.0565E+02 -3.6272E+01  6.8847E+01
0000070   5.1966E+02 -2.0054E+02  1.2794E+01
0000071   3.7263E+02 -3.1833E+01  1.0640E+02
0000072   3.5514E+02 -1.6771E+01  1.6387E+02
0000073   7.9546E+01  1.3162E+01  5.6359E+01
0000074   4.2961E+02 -8.7151E+01 -1.2237E+02
0000075   5.3084E+02 -1.1290E+02  6.6111E+01
0000076   4.4431E+02 -1.3033E+02 -4.0321E+01
0000077   6.0119E+02 -7.8034E+01  2.8944E+01
0000078   4.6679E+02 -2.7483E+01  3.7289E+01
0000079   4.3132E+02  2.2700E+02  1.8666E+01
0000080   4.4262E+02 -1.6829E+02  1.7593E+02
0000081   3.1586E+02  8.3704E+01  4.5327E+01
0000082   2.0494E+02 -1.8222E+01 -3.0641E+01
0000083   6.7626E+02  1.3989E+01  2.3564E+01
0000084   5.1391E+02 -6.9392E+01 -1.0477E+02
0000085   5.7833E+02  2.7097E+01  2.3916E-02
0000086   4.5092E+02  1.3505E+02 -1.9392E+02
0000087   4.9309E+02  8.2445E+01  1.0330E+01
0000088   3.2991E+02  1.1313E+02  3.9620E+01
0000089   4.0793E+02 -4.6718E+01  3.0860E+01
0000090   5.0384E+02  1.1747E+02 -5.8129E+01
0000091   4.8347E+02 -1.4259E+02  2.0510E+01
0000092   6.1555E+02 -8.9341E+01  8.7198E+01
0000093   5.6636E+02  1.0281E+02 -6.6609E+01
0000094   4.9555E+02 -1.1923E+02  1.5055E+02
0000095   3.7777E+02 -1.2636E+02  7.1929E+01
0000096   3.7771E+02  2.5240E+02  9.7080E+01
0000097   6.4029E+02  6.0808E+01 -9.2246E+01
0000098   3.3772E+02 -8.5105E+01  4.0508E+01
0000099   3.6746E+02 -2.1895E+01 -2.9211E+02
0000100   6.3126E+02  8.9809E+01  1.9207E+02
0000101   6.0463E+02  1.1118E+02  8.0038E+01
0000102   7.2351E+02 -2.3393E+02  8.2375E+00
0000103   5.4125E+02  6.4224E+01  1.4364E+02
0000104   5.8570E+02  4.8032E+01  1.7693E+02
0000105   6.2088E+02 -1.2105E+02 -1.9235E+01
0000106   3.5931E+02  1.3857E+01  4.9421E+01
0000107   5.8937E+02  1.5164E+02 -5.0854E+01
