============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 1000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.3524E+02 -2.4009E-01  1.9197E+01
0000002   2.0395E+02 -1.0124E+02  1.4165E+01
0000003   1.8296E+02 -2.4976E+01 -2.8074E+01
0000004   1.4414E+02 -5.5970E+01  4.1272E+01
0000005   1.6920E+02 -2.5293E+00 -2.8906E+01
0000006   2.4014E+02  3.1504E+00  7.1048E+01
0000007   1.8532E+02 -6.2624E+01  3.8437E+01
0000008   1.4862E+02 -6.2063E+01 -9.9542E+01
0000009   1.7788E+02  2.8505E+01  5.0170E+01
0000010   1.1297E+02  6.1946E+00  6.8354E+00
0000011   1.7380E+02 -3.6422E-01  6.2048E+01
0000012   1.8764E+02 -3.6977E+01  3.2190E+01
0000013   2.2309E+02 -4.8096E+01  3.7427E+01
0000014   1.3627E+02 -3.0374E+01 -4.2387E+01
0000015   1.6977E+02 -3.8133E+01  2.6123E+01
0000016   2.5753E+02 -4.2759E+01  2.7455E+00
0000017   1.9788E+02 -5.6934E+00  1.5788E+01
0000018   1.2138E+02  7.4051E+00 -6.3324E+01
0000019   4.9539E+01  4.7259E+01 -3.0252E+01
0000020   1.8222E+02 -4.7745E+01  7.6400E+01
0000021   1.6338E+02  4.7369E+01  4.4717E+01
0000022   1.6415E+02 -9.3238E+01 -6.0337E+00
0000023   2.7097E+02 -6.9196E+00  1.2975E+01
0000024   1.8171E+02  3.0349E+01 -2.9353E+01
0000025   2.7251E+02 -3.6671E+00  5.3191E+01
0000026   2.0973E+02  2.6135E+00 -6.2790E+01
0000027   1.5768E+02  1.7156E+01 -4.5016E+01
0000028   8.1352E+01 -4.7574E+01  3.9198E+01
0000029   1.4664E+02  6.2415E+01  4.4979E+01
0000030   1.9028E+02 -7.8977E+00 -4.7969E+01
0000031   1.6317E+02  1.6716E+01  4.5849E+01
0000032   1.5117E+02  4.4238E+01  4.7741E+01
0000033   2.4637E+02 -2.5685E+01  6.5913E+01
0000034   1.2949E+02 -2.0556E+01 -5.1282E+01
0000035   1.1719E+02 -2.3653E+00 -8.3168E+01
0000036   2.1224E+02 -3.9159E+01  3.8808E+01
0000037   1.6208E+02 -5.3649E-01  7.9533E+01
0000038   1.8725E+02 -8.9235E+01 -4.4332E+01
0000039   2.1027E+02  2.0445E+01 -4.4020E+01
0000040   1.2253E+02 -1.4878E+01  1.5843E+01
0000041   1.5344E+02  1.6646E+01 -8.3882E+01
0000042   1.8925E+02  9.5936E+00  2.0095E+01
0000043   8.9842E+01  5.0854E+01  9.1943E+00
0000044   1.1887E+02  4.7376E+01 -2.2383E+01
0000045   2.3394E+02 -3.0075E+00  1.0390E+01
0000046   1.6754E+02  1.3360E+01  8.4285E+01
0000047   2.1160E+02 -3.3141E+01 -9.7587E+01
0000048   2.1946E+02 -7.0485E+01 -2.9775E+01
0000049   6.1370E+01 -2.0934E+01 -2.1277E+01
0000050   1.2390E+02 -6.0120E+01  6.2205E+01
0000051   1.5666E+02  5.1381E+01 -2.2187E+01
0000052   2.0593E+02 -4.0213E+01  6.8761E+01
0000053   9.2681E+01  2.8887E+01  5.6141E+01
0000054   1.7814E+02  4.3503E+01 -5.9261E+00
0000055   1.0622E+02  1.2989E+01  4.1722E+01
0000056   2.2552E+02  1.0355E+02  3.2498E+01
0000057   2.1594E+02 -6.5096E+00  3.5422E+01
0000058   1.1864E+02 -5.3805E+01 -5.7239E+00
0000059   4.9807E+01 -7.4938E+01  1.0816E+01
0000060   2.6441E+02  6.0907E+01 -3.9292E+01
0000061   8.4102E+01  7.1611E+00 -6.3416E+01
0000062   9.7662E+01  2.5055E+01  2.4939E+01
0000063   1.2177E+02 -3.9763E+01 -3.7903E+01
0000064   2.0621E+02 -7.1639E+01  1.5339E+01
0000065   3.2373E+02 -8.3911E+01  5.3522E+00
0000066   2.3143E+02 -3.5217E+01 -2.6522E+01
0000067   2.8357E+02  3.3174E+01 -4.9531E+01
0000068   2.2427E+02  7.8701E+01  7.1533E+01
0000069   7.0734E+01 -2.5144E+00  4.4313E+01
0000070   2.3095E+02 -1.4434E+01 -2.3595E+01
0000071   1.3254E+02  2.7336E+01 -1.0498E+02
0000072   1.3746E+02 -3.0626E+01  7.9633E+01
0000073   1.5179E+02 -4.8343E+01  3.8424E+01
0000074   2.7997E+02  1.4939E+01  2.6068E+01
0000075   1.4571E+02  1.1467E+02 -2.3098E+01
0000076   1.8224E+02 -2.6713E+01  1.1483E+02
0000077   1.9711E+02  9.9797E+01  1.0645E+02
0000078   1.3653E+02 -6.7900E+01  6.7348E+01
0000079   1.8072E+02 -7.9130E+01 -2.9606E+00
0000080   1.3718E+02 -5.0725E+01 -6.3193E+00
0000081   2.4836E+02 -3.1068E+01  7.2137E+01
0000082   1.9198E+02 -3.5271E+01  5.5384E+01
0000083   1.8974E+02  3.3215E+01  4.9487E+01
0000084   1.6365E+02 -6.7551E+01  1.3270E+02
0000085   7.1809E+01 -4.9813E+00  3.9032E+01
0000086   1.6597E+02  1.3059E+01 -1.4530E+02
0000087   1.5559E+02 -6.3914E+01  7.9348E+01
0000088   1.1501E+02 -7.2118E+01 -9.0968E+00
0000089   1.0199E+02 -2.8546E+01  7.8711E+01
0000090   1.6073E+02  1.4334E+01 -2.4864E+01
0000091   1.8135E+02  2.8084E+01  7.0486E+01
0000092   1.8041E+02 -7.0712E+00 -1.3720E+02
0000093   8.5973E+01 -2.8013E+01  1.1111E+01
0000094   2.1735E+02  2.5408E+01 -6.4420E+00
0000095   1.7263E+02  1.6029E+01  2.5326E+01
0000096   1.6730E+02 -4.4580E+01  5.8352E+00
0000097   1.8023E+02  5.4118E+01 -2.6974E+01
0000098   1.0606E+02  1.8123E+01 -6.2287E+01
0000099   1.4922E+02  3.6991E+01  2.0400E+01
0000100   1.6465E+02  1.2560E+01  5.6808E+01
0000101   2.1105E+02 -3.3416E+01  2.4165E+01
0000102   7.5085E+01  8.1888E+01  1.0117E+01
0000103   2.5803E+02  2.9936E+01  3.8834E+01
0000104   1.5576E+02  5.5393E+00 -1.8809E+01
0000105   2.0170E+02  6.3282E+01  6.2726E+01
0000106   1.1045E+02 -3.8101E+01 -1.9255E+01
0000107   2.4110E+02  5.4183E+01  1.1542E+02
